Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
775	0:1.00	0:0.98	1:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:0.94	0:1.00	0:0.99	0:0.99
777	0:0.99	0:0.99	1:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.93	0:1.00	0:0.98	0:1.00
778	0:0.99	0:0.98	1:0.96	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:1.00
789	0:0.99	0:1.00	1:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00
807	0:0.98	0:1.00	1:0.98	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00
819	0:0.98	0:0.99	1:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00
825	0:0.99	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.96	0:0.99	0:0.99	0:1.00
831	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00
838	0:0.99	0:1.00	0:1.00	0:0.97	0:0.99	0:0.99	0:0.98	0:0.99	1:0.96	0:1.00	0:0.98	0:0.98	0:0.99
847	0:0.99	0:0.99	1:0.98	0:0.97	1:0.98	0:1.00	0:0.97	0:0.99	1:0.99	0:1.00	0:0.95	1:0.98	0:0.99
852	0:1.00	0:1.00	1:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	1:0.98	0:1.00
854	0:1.00	0:0.98	0:0.82	0:0.99	0:0.79	0:0.99	0:1.00	0:0.98	0:0.81	0:1.00	0:0.97	0:0.75	0:0.99
858	0:0.98	0:0.98	1:0.94	1:0.92	1:0.94	0:0.98	0:0.97	0:0.96	1:0.95	1:1.00	1:0.94	1:0.92	0:0.98
860	0:0.99	0:0.97	0:0.93	0:0.85	0:0.91	0:0.99	0:0.99	0:0.98	0:0.89	0:0.87	0:0.88	0:0.87	0:0.99
871	0:0.99	0:0.99	1:0.97	0:0.98	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.94	0:0.99	1:0.98	0:0.99
912	0:0.99	0:0.99	1:0.98	0:0.98	0:0.99	0:0.99	0:0.97	0:0.99	1:0.98	0:0.93	0:0.98	1:0.99	0:0.99
915	0:1.00	0:1.00	1:0.98	0:0.97	0:0.99	0:0.99	0:0.96	0:0.99	1:0.97	0:0.93	0:0.99	1:0.95	0:0.99
920	0:1.00	0:0.99	1:0.94	0:0.97	0:1.00	0:1.00	0:0.97	0:1.00	1:0.92	0:0.87	0:1.00	1:0.95	0:1.00
921	0:1.00	0:1.00	1:0.90	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.93	0:1.00	0:1.00	1:0.95	0:0.99
1013	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	1:0.74	0:0.98
1014	0:0.98	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.96	0:0.99	0:0.99	0:0.86	0:0.99	1:0.87	0:0.98
1237	0:0.98	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.86	1:0.99	0:1.00	0:1.00
1241	0:1.00	0:0.99	0:1.00	1:0.97	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	1:0.99	0:1.00	0:0.99
1310	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.96	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
1339	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	1:0.95	0:1.00	0:1.00	1:0.95	1:0.88	1:0.96	0:1.00	0:1.00
1348	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1359	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	1:0.99	0:0.99	0:0.99	1:0.99	0:0.93	0:1.00	0:0.98	0:1.00
1362	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.88	0:1.00	0:0.99	1:0.87	0:1.00	0:1.00	0:1.00	0:0.99
1365	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.93	0:0.98	0:0.99	1:0.95	0:1.00	0:0.99	0:0.99	0:1.00
1368	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99
1372	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.95	0:0.99	0:1.00	1:0.96	0:1.00	0:0.97	0:1.00	0:1.00
1374	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99
1416	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	1:0.97	1:0.99	0:0.99	1:0.98	0:1.00	1:0.99	0:0.98	0:1.00
1437	0:1.00	1:0.93	0:1.00	0:0.99	0:0.99	1:0.94	1:0.89	0:0.99	1:0.92	0:1.00	1:0.97	0:0.99	0:0.99
1452	0:0.99	1:0.98	1:0.98	0:1.00	1:0.98	1:0.98	1:0.99	0:1.00	1:0.97	0:1.00	1:0.94	0:1.00	0:0.99
1455	1:0.98	1:0.98	1:0.98	1:0.96	1:0.98	1:0.98	1:0.98	0:0.99	1:0.97	1:1.00	1:0.97	0:0.99	0:0.99
1467	1:0.99	1:0.98	1:1.00	1:0.99	1:0.98	1:0.99	1:0.99	0:1.00	1:0.98	1:1.00	1:1.00	0:1.00	0:1.00
1488	1:0.99	1:0.97	1:0.97	1:0.97	1:0.97	1:0.98	1:0.96	0:1.00	1:0.97	1:1.00	1:0.97	1:0.98	0:0.99
1551	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
1752	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
1879	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00
