Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15
699	1:0.90	1:0.97	1:0.85	0:1.00	0:0.99	1:0.97	0:0.99	1:0.96	1:0.96	0:0.98	1:0.98	0:0.98	0:0.93	0:0.99	1:0.96	-
705	1:0.97	1:0.99	1:1.00	0:0.99	0:0.96	1:0.98	0:0.97	1:0.98	1:0.98	0:1.00	1:1.00	0:0.98	0:1.00	0:1.00	1:0.98	-
737	1:0.96	1:0.97	1:0.97	0:0.99	0:0.99	1:0.97	0:0.99	1:0.94	0:1.00	0:1.00	1:0.92	0:0.99	0:1.00	0:1.00	0:1.00	-
756	1:1.00	1:0.98	1:1.00	0:1.00	0:1.00	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:0.95	0:1.00	0:1.00	0:0.99	0:0.99	-
771	1:0.96	1:0.96	0:1.00	0:0.99	0:0.99	1:0.98	0:0.97	1:0.97	0:1.00	0:1.00	0:1.00	0:0.98	0:0.94	0:1.00	0:0.99	-
775	1:0.95	1:0.99	0:0.95	0:1.00	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.94	0:1.00	0:1.00	-
777	1:0.97	1:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.98	1:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.93	0:0.99	0:0.99	-
778	1:0.93	1:0.98	0:1.00	0:1.00	0:0.99	1:0.96	0:0.99	1:0.96	0:1.00	0:1.00	0:0.97	0:0.99	0:1.00	0:1.00	0:0.99	-
789	1:0.95	1:0.96	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	-
807	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	1:0.98	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	-
819	1:1.00	1:0.98	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	-
825	1:0.97	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	1:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.96	0:1.00	0:0.99	-
831	1:0.97	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	1:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	-
838	1:0.92	0:0.99	0:1.00	0:0.99	0:0.97	1:0.96	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00	0:0.98	0:0.99	-
847	1:0.97	1:0.98	0:1.00	0:0.99	0:0.96	1:0.99	1:0.98	1:0.98	0:1.00	0:0.98	0:0.99	0:0.97	0:1.00	0:0.99	0:1.00	-
852	1:0.77	1:0.99	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98	1:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	-
854	1:1.00	0:0.79	0:0.57	0:0.99	0:0.99	0:0.85	0:0.75	0:0.80	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	-
858	1:0.90	1:0.94	0:0.68	0:0.99	1:0.92	1:0.96	1:0.92	1:0.93	0:0.97	1:0.92	0:0.99	0:0.96	1:1.00	0:0.98	0:0.98	-
860	1:0.66	0:0.92	0:0.64	0:1.00	0:0.85	0:0.91	0:0.87	0:0.92	0:0.98	0:0.87	0:0.99	0:0.99	0:0.87	0:0.99	0:0.99	-
871	0:0.98	1:0.99	0:0.84	0:0.99	0:0.98	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.94	0:0.99	0:1.00	-
912	1:1.00	0:1.00	0:1.00	0:0.99	0:0.97	1:0.98	1:0.99	1:0.97	0:1.00	0:1.00	0:0.98	0:0.98	0:0.93	0:0.99	0:0.99	1:1.00
915	1:0.97	0:1.00	0:1.00	0:0.99	0:0.96	1:0.97	1:0.95	1:0.96	0:0.99	0:1.00	0:1.00	0:0.96	0:0.93	0:1.00	0:0.99	1:1.00
920	1:0.96	0:1.00	0:1.00	0:1.00	0:0.98	1:0.91	1:0.95	1:0.91	0:1.00	0:1.00	0:0.99	0:0.97	0:0.87	0:1.00	0:1.00	1:1.00
921	1:0.91	0:1.00	0:1.00	0:1.00	0:1.00	1:0.93	1:0.95	1:0.88	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00
1013	0:1.00	0:0.99	0:1.00	0:0.98	0:0.98	0:0.99	1:0.75	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:0.98	0:1.00
1014	0:1.00	0:0.99	0:1.00	0:0.97	0:0.98	0:0.99	1:0.87	0:1.00	0:1.00	0:1.00	0:0.98	0:0.96	0:0.86	0:0.99	0:0.99	0:1.00
1237	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	1:0.86	0:0.99	0:0.99	0:0.98
1241	0:1.00	0:0.98	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:0.98
1310	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
1339	0:0.55	0:1.00	0:1.00	0:1.00	1:0.95	1:0.96	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	1:0.88	0:1.00	1:0.96	0:0.99
1348	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00
1359	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.93	0:1.00	1:0.99	0:1.00
1362	1:1.00	0:1.00	0:0.91	0:0.99	0:1.00	1:0.87	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.88	0:1.00
1365	0:1.00	0:0.99	0:0.91	0:1.00	0:0.98	1:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	1:0.93	0:0.99
1368	-	0:1.00	0:1.00	0:1.00	0:0.98	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	1:0.99	0:0.98
1372	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	0:0.99	0:1.00	0:0.97	0:1.00	0:1.00	0:1.00	0:0.99	1:0.95	0:0.99
1374	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99
1416	1:1.00	0:0.99	0:0.90	0:1.00	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99	1:0.99	0:0.97	1:0.99	0:1.00	0:0.98	1:0.98	0:1.00
1437	-	0:0.98	1:0.81	0:1.00	0:0.99	1:0.92	0:0.99	0:1.00	0:0.99	1:0.97	1:0.92	1:0.87	0:1.00	0:0.98	1:0.93	0:0.99
1452	-	1:0.97	1:1.00	0:1.00	0:1.00	1:0.97	0:1.00	1:0.88	0:0.99	1:0.94	1:0.99	1:0.99	0:1.00	0:0.97	1:0.98	0:1.00
1455	-	1:0.99	1:1.00	0:1.00	1:0.94	1:0.97	0:0.99	1:0.97	0:1.00	1:0.97	1:0.99	1:0.97	1:1.00	1:0.97	1:0.98	0:0.98
1467	-	1:0.98	1:1.00	0:1.00	1:0.99	1:0.98	0:1.00	1:0.99	0:1.00	1:1.00	1:0.97	1:0.99	1:1.00	1:1.00	1:0.98	0:1.00
1488	-	1:0.98	1:0.89	0:0.98	1:0.97	1:0.97	1:0.98	1:0.97	0:1.00	1:0.97	1:0.96	1:0.95	1:1.00	1:1.00	1:0.99	0:0.98
1551	-	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.98	0:0.98	0:1.00	0:0.99	1:0.96	0:1.00
1752	-	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	1:0.96	0:1.00
1879	-	0:1.00	0:1.00	0:0.96	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00
