Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
789	1:0.99	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:1.00	-	0:0.99	1:0.96
807	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.98	0:0.99	-	0:1.00	1:0.98
819	1:0.98	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	1:0.98
825	1:0.98	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99
831	1:0.99	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99
838	0:1.00	0:1.00	0:0.99	0:0.98	1:0.91	0:0.98	1:0.96	0:0.97	0:0.98	0:0.99	0:0.99	-	0:0.99	0:0.99
847	1:0.98	0:0.99	0:0.99	0:0.95	1:0.98	0:0.97	1:0.99	0:0.97	1:0.98	0:0.99	0:1.00	1:1.00	0:0.99	1:0.98
852	1:1.00	0:1.00	0:1.00	0:0.99	1:0.91	0:0.99	1:0.98	0:0.99	1:0.98	0:1.00	0:1.00	1:1.00	0:1.00	1:0.99
854	0:0.82	0:0.98	0:0.99	0:0.97	1:0.91	0:1.00	0:0.87	0:0.99	0:0.76	0:1.00	0:0.99	1:1.00	0:0.98	0:0.79
858	1:0.94	0:0.98	0:0.98	1:0.94	1:0.90	0:0.97	1:0.96	1:0.92	1:0.91	0:0.97	0:0.98	1:1.00	0:0.96	1:0.94
860	0:0.93	0:0.97	0:0.99	0:0.88	1:0.65	0:0.99	0:0.93	0:0.86	0:0.87	0:0.99	0:0.99	1:1.00	0:0.98	0:0.91
871	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	1:0.98	0:0.99	0:1.00	1:1.00	0:0.99	1:0.98
912	1:0.98	0:0.99	0:0.99	0:0.98	1:1.00	0:0.97	1:0.98	0:0.97	1:0.99	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99
915	1:0.98	0:1.00	0:0.99	0:0.99	1:0.96	0:0.96	1:0.97	0:0.97	1:0.95	0:1.00	0:0.99	1:1.00	0:0.99	0:0.99
920	1:0.94	0:0.99	0:1.00	0:1.00	1:0.98	0:0.97	1:0.91	0:0.97	1:0.95	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00
921	1:0.90	0:1.00	0:0.99	0:1.00	1:0.90	0:0.99	1:0.93	0:1.00	1:0.95	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00
1013	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.75	0:0.98	0:0.98	0:1.00	0:0.98	0:0.99
1014	0:1.00	0:0.98	0:0.98	0:0.99	0:1.00	0:0.96	0:0.99	0:0.98	1:0.87	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99
1237	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00
1241	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98
1310	0:0.99	0:1.00	0:0.99	0:1.00	0:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	0:1.00
1339	0:1.00	0:1.00	0:1.00	1:0.96	0:0.59	0:1.00	1:0.96	1:0.96	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00
1348	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99
1359	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	1:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99
1362	0:1.00	0:0.99	0:0.99	0:1.00	1:0.85	0:1.00	1:0.87	0:0.99	0:1.00	0:0.99	1:0.88	0:1.00	0:0.99	0:0.99
1365	0:1.00	0:0.99	0:1.00	0:0.99	0:0.52	0:0.98	1:0.95	0:0.99	0:0.99	0:1.00	1:0.93	0:1.00	0:0.99	0:0.99
1368	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00
1372	0:1.00	0:1.00	0:1.00	0:0.97	1:1.00	0:0.99	1:0.96	0:1.00	0:1.00	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99
1374	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.86	0:0.99	0:1.00
1416	0:1.00	0:0.98	0:1.00	1:0.99	1:0.72	1:0.99	1:0.98	0:0.99	0:0.98	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00
1437	0:1.00	1:0.93	0:0.99	1:0.97	1:1.00	1:0.89	1:0.92	0:0.99	0:0.99	0:1.00	1:0.94	0:1.00	0:0.99	0:0.99
1452	1:0.98	1:0.98	0:0.99	1:0.94	1:1.00	1:0.99	1:0.97	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	1:0.98
1455	1:0.98	1:0.98	0:1.00	1:0.97	1:1.00	1:0.98	1:0.97	1:0.96	0:0.99	1:0.98	1:0.98	0:1.00	0:0.99	1:0.98
1467	1:1.00	1:0.98	0:1.00	1:1.00	0:0.54	1:0.99	1:0.99	1:0.99	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00	1:0.98
1488	1:0.97	1:0.97	0:0.99	1:0.97	1:1.00	1:0.97	1:0.97	1:0.97	1:0.98	1:0.99	1:0.98	1:0.88	0:0.99	1:0.97
1551	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	0:1.00	0:0.98	0:0.99
1752	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.96	0:1.00	0:0.99	0:0.99
1879	0:0.98	0:0.99	0:1.00	0:1.00	1:0.66	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
