Contig:MEG_3690xxDrugsxxLipopeptidesxxColistin_phosphoethanolamine_transferasexxMCR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
765	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00
789	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00
825	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:0.87
840	1:0.97	0:1.00	0:0.99	0:0.99	0:0.98	0:0.98	1:0.97	1:0.89
855	1:0.98	0:0.98	0:0.99	0:1.00	0:0.98	0:0.98	0:0.98	1:1.00
886	0:1.00	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
890	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:1.00
897	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	1:1.00
909	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	1:1.00
910	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	1:1.00
913	1:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.98	1:1.00
927	1:0.96	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	1:1.00
937	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	1:1.00
966	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:1.00
993	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00
1005	1:0.96	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	1:0.79
1006	0:0.96	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.89
1009	1:0.99	0:0.99	0:0.98	0:0.99	0:0.95	0:0.95	1:0.96	1:1.00
1014	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.97	1:0.91	1:1.00
1021	1:0.99	0:0.98	0:1.00	0:0.99	0:0.95	0:0.96	1:0.97	1:1.00
1026	1:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.99	1:1.00
1044	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:1.00
1074	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00
1080	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00
1118	1:0.99	1:1.00	1:0.97	0:1.00	1:1.00	0:1.00	1:0.99	1:0.88
1158	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:1.00
1164	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
1188	1:0.94	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00
1269	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00
1283	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	1:1.00
1371	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	1:0.95	0:1.00
1372	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	1:0.94	0:1.00
1374	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00
1386	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
1402	-	0:1.00	1:0.94	0:0.99	0:1.00	0:0.99	1:0.94	-
1428	-	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	-
1431	-	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96	-
1477	-	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	1:0.97	-
1479	-	0:1.00	0:0.99	0:0.98	0:1.00	0:0.98	1:0.91	-
1480	-	0:1.00	0:0.97	0:1.00	0:0.98	0:0.98	1:0.91	-
1487	-	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	-
1488	-	0:1.00	0:0.99	0:0.99	0:0.98	0:0.97	1:0.99	-
