Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
711	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.98	0:1.00	0:0.97
777	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98	1:1.00	1:0.98
780	0:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:0.98	0:0.99	0:1.00	1:0.89	1:0.89	1:0.90	1:0.79
781	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.84	1:0.82	1:0.91	1:0.79
786	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	1:0.97	1:1.00	1:0.98
788	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	1:1.00	1:0.95	1:0.98
789	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:1.00	1:1.00	1:0.97
793	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.96	1:0.98	1:1.00	1:0.98
797	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	1:0.98	1:1.00	1:0.99
798	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	1:0.95	1:0.92
804	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	1:0.96	1:0.95	1:0.97
807	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	1:0.98	1:0.94	1:1.00	1:1.00
808	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	1:0.95	1:1.00	1:1.00
810	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	1:1.00	1:0.94	1:1.00
814	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	1:1.00	1:0.96
821	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.89	1:0.91	1:0.86	1:0.87
822	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	1:0.99	1:0.90	1:0.92
823	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	1:0.94	1:0.91	1:0.97
832	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	1:0.97	1:0.95	1:0.97
838	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.92	1:0.91	1:0.94	1:0.94
839	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.90	1:0.87	1:0.90	1:0.93
840	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	1:0.95	1:0.93	1:0.96
841	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98	1:0.91	1:0.97
845	0:0.97	0:0.98	0:0.99	0:1.00	0:0.97	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00
852	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:1.00	1:1.00	1:1.00
858	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.98	1:0.95	1:0.92	1:0.95	1:0.98
861	0:0.98	0:0.99	0:0.99	0:1.00	0:0.96	0:0.99	0:0.99	0:0.98	1:0.98	1:0.97	1:0.95	1:0.98
873	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	1:1.00	1:1.00	1:0.97
879	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	1:0.98	1:1.00	1:0.97
884	1:0.98	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	1:0.99	1:0.99	1:1.00	1:1.00
886	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	1:0.98	1:0.98	1:0.95	1:0.95
887	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.90	1:0.90	1:0.83	1:0.92
889	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	1:0.97	1:0.94	1:0.87	1:0.93
891	0:0.98	0:0.99	0:0.99	0:0.99	0:0.96	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	1:0.96	1:1.00
893	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.98	1:0.96	1:1.00
897	0:0.98	0:0.93	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:1.00	1:0.96	1:1.00
908	0:0.99	0:0.99	0:1.00	0:0.99	1:0.64	0:1.00	0:1.00	0:0.99	1:0.96	1:0.95	1:0.90	1:0.92
909	0:1.00	0:0.99	0:1.00	0:1.00	1:0.96	0:1.00	0:0.99	0:1.00	0:0.91	0:0.87	0:0.95	0:0.95
910	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	1:0.98	1:0.91	1:1.00
911	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	1:1.00	1:0.95	1:1.00
913	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.90	1:0.83	1:0.75	1:0.93
914	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	1:1.00	1:0.96	1:0.98
915	0:0.97	0:0.99	0:0.99	0:1.00	0:0.93	0:0.99	0:1.00	0:1.00	1:0.99	1:0.98	1:0.95	1:0.98
920	0:0.99	0:0.99	0:1.00	2:0.97	0:0.87	0:0.99	0:0.98	0:0.99	1:0.97	1:0.95	1:1.00	1:0.98
921	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.86	1:0.88	1:0.87	1:0.81
924	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.90	1:0.93	1:0.81	1:0.84
926	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	1:0.97	1:1.00	1:0.98
927	0:1.00	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99	0:1.00	0:0.99	1:0.99	1:0.95	1:0.91	1:0.96
930	0:0.98	0:0.99	0:0.98	0:0.99	2:0.73	0:0.99	0:0.99	0:0.99	1:0.95	1:0.92	1:0.91	1:0.95
933	0:1.00	0:0.99	0:0.99	0:0.99	1:0.94	0:1.00	0:0.98	0:0.98	2:0.98	2:0.98	2:0.95	2:0.98
936	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	1:1.00	1:0.99
942	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.95	1:0.96	1:0.99
948	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	1:0.96	1:0.96	1:0.99
949	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.89	0:0.84	0:0.82	0:0.79
950	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.95	1:0.90	1:0.96	1:0.94
951	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
952	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
957	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.94	1:0.93	1:0.90	1:0.91
958	0:0.99	0:0.99	0:0.98	0:0.99	1:0.96	0:0.98	0:0.99	0:0.99	2:0.89	2:0.83	2:0.80	2:0.83
959	0:0.99	0:1.00	0:1.00	0:0.99	1:0.93	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00
964	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99	1:1.00	1:1.00	1:1.00
966	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:0.98	0:1.00	0:0.99	0:0.98	0:0.98	0:0.95	0:0.99
969	0:0.99	0:1.00	0:1.00	0:1.00	1:0.95	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
972	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	1:0.98	1:0.99	1:1.00	1:0.98
974	0:0.98	0:0.99	0:1.00	0:1.00	1:0.94	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98
975	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00
976	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	1:0.97	1:1.00	1:1.00
979	0:1.00	0:1.00	0:0.99	0:0.99	1:0.93	0:0.99	0:1.00	0:0.99	0:0.89	0:0.87	0:0.85	0:0.89
983	0:0.99	0:0.99	0:0.99	0:0.99	0:0.83	0:0.99	0:1.00	0:1.00	1:0.95	1:0.96	1:0.96	1:0.95
984	0:0.98	0:0.99	0:0.99	0:0.99	1:0.94	0:0.98	0:0.99	0:0.99	0:0.89	0:0.93	0:0.90	0:0.90
987	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.94	0:0.92	0:0.96	0:0.90
992	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.56	1:0.60	0:0.52	1:0.68
993	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.94	1:0.95	1:0.96	1:0.94
996	0:1.00	0:0.99	0:1.00	0:1.00	2:0.98	0:0.99	0:0.99	0:0.99	1:0.99	1:0.99	1:0.96	1:0.97
997	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.96	0:0.99
1002	0:0.99	0:0.99	0:0.99	0:0.99	2:0.94	0:0.99	0:0.98	0:1.00	1:0.97	1:0.95	1:0.93	1:0.95
1005	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.96	0:1.00
1007	0:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.96	0:0.96	0:1.00
1009	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	1:0.97	1:0.92	1:0.94
1010	0:0.98	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.95	0:0.57	0:0.99
1011	0:0.99	0:0.99	0:1.00	0:0.99	0:0.97	0:0.99	0:1.00	0:0.99	1:0.92	1:0.85	1:0.81	1:0.89
1012	0:0.96	0:0.98	0:0.99	0:0.98	2:0.94	0:1.00	0:0.99	0:0.98	1:0.97	1:0.94	2:0.73	1:0.95
1013	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.96	0:1.00	1:0.98
1014	0:0.97	0:0.99	0:0.98	0:0.98	2:0.96	0:0.99	0:0.98	0:0.99	1:0.98	1:0.98	2:0.78	1:0.99
1020	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1027	0:1.00	0:1.00	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.97
1029	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
1032	0:0.99	0:0.99	0:0.99	0:1.00	1:0.93	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
1033	0:0.99	0:1.00	0:0.99	0:1.00	1:0.92	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.96	0:0.99
1035	0:0.96	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
1036	1:0.98	0:1.00	0:1.00	0:1.00	0:0.96	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00
1038	0:0.96	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.97	0:1.00	0:1.00
1040	0:0.98	0:1.00	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1041	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1047	0:0.99	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	0:0.99	0:1.00	1:0.94	1:0.91	1:0.95	1:0.91
1048	0:1.00	0:1.00	0:0.99	0:1.00	1:0.95	0:0.99	0:1.00	0:1.00	1:0.99	1:0.96	1:0.91	1:1.00
1049	0:1.00	0:0.99	0:0.99	0:0.99	1:0.87	0:1.00	0:1.00	0:1.00	0:0.99	0:0.96	0:1.00	0:0.99
1050	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.95	0:1.00	0:0.94
1052	0:0.99	0:0.99	0:0.99	0:1.00	0:0.96	0:1.00	0:1.00	0:0.99	1:0.98	1:0.92	1:0.96	1:0.92
1053	0:0.99	0:0.99	0:1.00	0:0.99	1:0.91	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	1:0.58
1054	0:1.00	0:1.00	0:0.99	0:0.99	0:0.94	0:0.99	0:1.00	0:1.00	1:0.99	1:0.95	1:0.92	1:0.86
1055	0:0.99	0:0.99	0:1.00	0:0.99	1:0.92	0:0.99	0:1.00	0:0.99	1:0.99	1:1.00	1:0.96	1:0.85
1056	0:1.00	0:1.00	0:0.99	0:1.00	1:0.69	0:1.00	0:1.00	0:0.99	1:0.99	1:0.61	1:0.91	0:0.57
1058	0:0.97	0:0.99	0:1.00	0:0.99	0:0.83	0:1.00	0:0.99	0:0.98	1:0.98	1:0.90	1:0.97	0:1.00
1059	0:1.00	0:1.00	0:1.00	0:1.00	0:0.91	0:0.99	0:1.00	0:1.00	1:0.94	1:0.95	1:0.96	0:1.00
1063	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:1.00	1:0.93	1:0.94
1065	0:1.00	0:0.99	0:1.00	0:1.00	1:0.96	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00	0:1.00
1066	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	1:1.00	1:1.00	1:0.96
1068	0:0.99	0:0.99	0:1.00	0:1.00	1:0.89	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1071	0:1.00	0:1.00	0:0.99	0:0.99	1:0.92	0:1.00	0:0.99	0:1.00	1:1.00	1:0.99	1:0.95	1:0.98
1072	0:1.00	0:0.99	0:1.00	0:1.00	1:0.95	0:1.00	0:0.99	0:0.99	1:1.00	1:0.98	1:1.00	1:1.00
1078	0:1.00	0:1.00	0:1.00	0:0.99	1:0.92	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98
1079	0:0.99	0:1.00	0:0.99	0:1.00	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.97
1080	0:0.98	0:0.99	0:0.99	0:0.99	1:0.92	0:0.99	0:0.98	0:0.99	2:0.97	2:0.98	2:0.97	2:0.97
1081	0:0.99	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00
1083	0:1.00	0:1.00	0:1.00	0:0.99	0:0.90	0:1.00	0:0.99	0:1.00	1:0.99	1:1.00	1:0.96	1:1.00
1087	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.90	0:0.99
1088	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	1:0.96	1:1.00	1:0.96	1:0.97
1089	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	1:0.97	1:0.97
1092	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
1095	0:1.00	0:1.00	0:0.99	0:0.99	1:0.95	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1096	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	2:0.98	2:0.96	2:0.96	2:0.98
1097	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	1:1.00	1:0.96
1101	0:1.00	0:0.99	0:1.00	0:1.00	1:0.95	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.96	0:1.00
1104	0:0.99	0:1.00	0:1.00	0:0.99	0:0.97	0:0.99	0:1.00	0:0.99	1:0.98	1:0.94	1:0.88	1:0.98
1105	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:0.98	0:0.98	0:1.00	0:1.00
1107	0:0.99	0:0.98	0:1.00	0:0.99	2:0.98	0:0.99	0:0.99	0:0.99	1:0.98	1:0.96	1:1.00	1:1.00
1110	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:1.00	1:1.00	1:0.98
1111	2:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	2:0.95	0:0.99	1:0.97	1:0.96	1:0.97	1:0.96
1112	0:0.98	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
1113	0:0.97	0:0.99	0:1.00	0:0.99	1:0.93	0:1.00	0:0.99	0:0.99	2:0.97	2:1.00	2:1.00	2:0.96
1119	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	1:0.98	1:0.91	1:0.97
1123	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	1:0.98	1:0.96	1:0.97
1126	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	1:0.96	1:0.95	1:1.00	1:0.98
1179	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.96	0:1.00	0:1.00
1180	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00
1221	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99
1410	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99
1674	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
1708	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.98	0:1.00	0:1.00
1749	0:0.97	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00
1784	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	1:0.98	1:1.00	1:1.00
