Contig:MEG_7909xxDrugsxxbetalactamsxxClass_C_betalactamasesxxADC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
487	0:0.97	0:1.00	1:0.96	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
492	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	1:0.99
499	1:0.93	1:0.96	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	1:0.98	1:0.97	1:0.96	0:0.98	0:1.00
513	1:0.79	1:0.93	0:0.99	1:0.96	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	1:0.91	1:0.92	1:0.93	0:0.98	0:0.99
514	1:1.00	1:0.97	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	1:0.98	1:0.99	1:0.98	0:1.00	0:1.00
528	1:1.00	1:0.99	0:0.99	1:0.99	0:0.98	0:1.00	0:1.00	0:0.98	1:0.99	1:1.00	1:0.98	1:0.98	0:0.99	0:1.00
534	1:0.96	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	1:0.99	1:0.98	0:1.00	0:1.00
540	1:1.00	1:1.00	0:0.99	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:1.00	1:0.99	1:0.99	1:0.99	0:1.00	0:1.00
541	1:0.91	1:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:1.00	1:0.98	1:0.99	1:1.00	0:0.97	0:0.99
547	0:0.96	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98
552	1:1.00	1:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	1:0.98	1:0.98	1:0.98	0:0.99	0:0.99
558	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.96	0:1.00
591	1:0.95	1:0.96	1:0.98	1:0.97	0:1.00	1:0.98	0:0.99	1:0.97	1:0.98	1:0.99	1:0.98	1:0.98	0:0.99	1:0.98
657	1:1.00	1:0.96	1:0.97	1:0.94	0:1.00	1:0.96	0:0.99	0:0.99	1:0.95	1:0.97	1:0.97	1:0.97	0:1.00	1:0.93
671	0:0.95	0:1.00	0:0.98	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
672	0:0.75	0:0.99	1:0.97	0:0.92	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
678	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00
713	0:0.95	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:0.97
723	0:0.96	0:0.96	0:1.00	0:0.98	0:0.99	1:0.98	0:0.97	0:1.00	0:0.97	0:1.00	0:1.00	0:0.99	0:0.97	0:0.99
727	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
731	0:1.00	0:1.00	0:0.99	1:0.90	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.96	0:0.99	0:1.00
732	0:1.00	0:1.00	1:0.96	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.89	0:1.00	0:1.00
781	0:0.96	1:0.80	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99
804	1:0.91	0:0.47	0:0.99	1:0.94	0:0.98	0:0.98	0:0.99	2:0.93	1:0.95	1:0.93	1:0.94	1:0.94	0:0.98	1:0.92
807	1:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	1:0.98	1:0.98	1:0.97	0:1.00	1:0.96
813	1:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.98	0:0.98	1:1.00	1:0.99	1:0.98	1:0.99	0:0.99	1:1.00
822	1:0.96	0:0.97	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.98	1:1.00	1:0.99	1:0.98	0:0.97	1:0.96
823	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.96	0:0.99	0:0.97
825	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
860	0:0.96	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.97
862	1:0.63	1:0.93	0:1.00	1:0.79	0:0.99	0:1.00	0:1.00	0:0.99	1:0.81	1:0.79	1:0.80	1:0.83	0:0.99	1:0.77
863	1:0.95	1:0.99	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	1:0.98	1:0.99	1:0.97	0:1.00	1:0.96
871	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
874	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	1:0.93	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
875	0:0.97	0:0.99	0:0.99	0:0.99	0:0.98	1:0.93	0:0.98	0:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
876	0:0.96	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
942	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
944	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
961	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:0.98	0:0.99
975	0:0.95	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.98	0:0.99
996	0:1.00	1:0.97	0:1.00	0:0.98	0:1.00	1:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
1030	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
1035	0:1.00	1:1.00	1:0.98	0:1.00	0:0.99	1:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98
1037	1:0.92	0:1.00	1:0.98	1:0.99	1:0.94	1:0.96	0:1.00	1:0.97	1:0.99	1:0.97	0:1.00	1:0.97	1:1.00	1:0.95
1039	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
1056	1:0.95	0:1.00	0:0.99	1:0.99	0:0.99	1:0.98	0:0.99	0:0.99	1:0.99	1:0.99	1:0.99	1:0.99	0:0.99	0:1.00
1065	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
1068	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:1.00
1083	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97
1122	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
1137	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
1143	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98
1146	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
1147	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
1149	0:1.00	1:0.98	0:1.00	0:0.98	0:0.99	1:0.98	0:0.97	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
1162	0:1.00	1:0.91	0:1.00	0:0.99	0:0.99	1:0.91	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
