Contig:NC_001802.1,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
4109	1:0.88	1:0.95	1:0.88	1:0.98
4198	1:0.76	1:0.64	0:0.63	0:0.98
4321	1:0.95	1:0.94	1:0.94	1:0.97
4474	0:0.98	0:0.72	0:0.68	1:0.88
4683	1:1.00	1:0.97	1:0.99	1:0.96
4724	1:0.96	1:0.63	1:0.63	0:0.99
4778	1:0.98	1:0.98	1:0.98	1:0.98
4857	1:0.89	1:0.56	1:0.63	2:0.87
4925	0:0.97	0:0.66	0:0.67	1:0.98
4977	1:0.98	1:0.64	1:0.67	0:0.98
5036	1:0.92	1:0.95	1:0.91	1:0.95
5087	1:0.96	1:0.58	1:0.71	0:0.97
5136	1:0.94	1:0.98	1:0.92	1:0.94
5205	0:0.88	0:0.90	0:0.91	0:0.92
5251	1:0.99	1:1.00	1:1.00	1:0.99
5437	1:0.98	0:0.54	1:0.81	0:0.99
5484	1:0.96	0:0.55	1:0.78	0:0.99
5622	0:0.99	1:0.53	0:0.88	1:0.94
5652	1:0.93	0:0.66	1:0.82	0:0.98
5688	1:0.96	0:0.54	1:0.85	0:0.96
5802	1:0.69	0:0.71	1:0.61	0:0.99
5831	1:0.98	0:0.58	1:0.86	0:0.99
5867	0:0.97	0:0.51	0:0.82	1:0.90
5917	1:0.95	0:0.54	1:0.83	0:0.94
5968	1:0.97	0:0.61	1:0.84	0:0.98
6037	1:0.98	1:0.98	1:0.99	1:0.98
6167	1:0.69	0:0.79	1:0.62	0:0.99
6189	1:0.74	1:0.85	1:0.77	1:0.97
6253	1:0.97	1:0.97	1:0.98	1:0.91
6285	1:0.95	1:0.95	1:0.96	1:0.97
6322	1:0.95	0:0.65	1:0.87	0:0.99
6418	0:0.99	1:0.64	0:0.90	1:0.98
6500	1:0.99	1:1.00	1:0.98	1:0.99
6581	1:0.99	1:0.99	1:0.98	1:0.98
6631	0:0.99	1:0.72	0:0.94	1:0.99
6776	1:0.94	1:0.97	1:1.00	1:0.95
6800	1:0.74	1:0.71	1:0.78	1:0.78
6826	1:0.97	1:0.99	1:0.99	1:0.97
6876	1:0.91	1:0.88	1:0.95	1:0.90
6961	0:0.97	1:0.54	0:0.97	1:0.74
6985	0:0.89	1:0.61	0:0.89	1:0.76
7016	1:0.98	1:1.00	1:0.97	1:0.99
7158	1:0.94	0:0.81	1:0.98	0:0.87
7238	1:0.94	2:0.87	1:0.93	2:0.95
7275	0:0.94	1:0.87	0:0.98	1:0.85
7366	0:0.99	1:0.81	0:0.97	1:0.91
7441	1:0.96	0:0.88	1:0.93	0:0.94
7541	1:0.99	0:0.98	1:0.99	0:0.98
7575	1:0.93	0:0.92	1:0.92	0:0.96
7608	1:0.99	0:0.98	1:0.99	0:0.98
7689	0:0.92	1:0.97	0:0.87	1:0.96
7706	1:0.95	1:0.93	1:0.96	1:0.96
7741	0:0.99	1:0.94	0:0.98	1:0.93
7764	0:0.99	1:0.96	0:0.98	1:0.96
7828	0:0.99	1:0.98	0:0.98	1:0.97
7937	1:0.99	0:0.99	1:0.98	0:0.97
7988	1:0.93	1:0.89	1:0.89	1:0.88
8035	0:0.94	1:0.99	0:0.87	1:0.95
8096	0:1.00	0:0.79	0:0.99	0:0.80
8122	1:0.91	0:1.00	1:0.92	0:0.98
8168	0:0.99	1:0.97	0:0.96	1:0.96
8197	0:0.99	1:0.95	0:0.98	1:0.96
8216	1:0.99	0:0.98	1:0.95	0:0.97
8291	1:0.96	2:0.92	1:0.90	2:0.87
8334	1:0.88	0:0.98	1:0.86	0:0.96
8371	1:0.97	0:0.98	1:0.95	0:0.94
8404	1:0.81	0:0.99	1:0.75	0:0.97
8491	1:0.98	0:0.99	1:0.94	0:0.97
8531	1:0.83	0:0.97	1:0.82	0:0.96
8595	1:0.99	1:0.99	1:1.00	1:0.99
8666	1:0.99	1:0.99	1:0.99	1:0.98
8732	0:0.96	1:0.94	0:0.96	1:0.95
8797	1:0.91	0:0.94	1:0.91	0:0.97
8832	1:0.94	0:0.92	1:0.87	0:0.96
8950	1:0.91	1:0.89	1:0.86	1:0.93
9106	0:0.52	-	-	0:0.51
