Contig:MEG_1687|Drugs|betalactams|Class_A_betalactamases|CFX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
	444	1:1.00	0:0.96	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
	447	1:0.99	0:0.94	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	459	1:1.00	1:0.82	0:0.91	1:0.99	1:0.99	0:0.98	1:0.99
	462	1:0.99	0:0.94	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00
	471	1:0.99	0:0.96	0:0.95	0:1.00	0:1.00	0:1.00	0:0.99
	480	1:0.98	0:0.96	0:0.96	0:1.00	0:1.00	0:1.00	0:1.00
	486	1:1.00	0:0.96	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00
	495	1:0.99	0:0.96	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00
	498	1:0.99	0:0.96	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
	516	1:1.00	0:0.94	0:1.00	0:0.83	0:0.83	0:1.00	0:1.00
	549	1:0.99	0:0.98	0:0.98	1:0.99	1:1.00	0:1.00	1:1.00
	573	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
	574	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
	576	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
	578	1:0.92	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
	587	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
	591	1:0.98	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
	612	1:0.99	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00	0:0.88
	627	1:0.98	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	630	1:0.95	1:0.96	1:0.91	1:0.96	1:0.96	1:0.95	1:0.95
	634	1:0.95	1:0.94	1:0.96	1:0.94	1:0.95	1:0.94	1:0.96
	639	1:0.99	0:1.00	0:1.00	0:0.95	0:1.00	0:1.00	0:1.00
	643	1:0.99	0:1.00	0:1.00	1:0.93	0:1.00	0:1.00	0:0.88
	646	1:0.99	0:1.00	0:0.96	1:0.96	1:0.98	0:1.00	1:0.99
	649	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	652	1:0.98	0:1.00	0:0.98	1:0.96	0:0.98	0:1.00	1:1.00
	653	1:0.97	0:1.00	0:0.99	1:0.96	1:0.96	0:1.00	1:0.99
	656	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	663	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
	684	1:0.99	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:0.87
	696	1:0.99	0:1.00	0:0.99	1:0.99	1:0.97	0:1.00	1:0.99
	697	1:0.98	0:1.00	0:0.99	0:0.92	1:0.94	0:1.00	1:0.85
	698	1:0.98	0:1.00	0:0.99	0:0.95	0:1.00	0:1.00	0:1.00
	699	1:0.98	0:1.00	0:0.99	0:0.95	0:1.00	0:1.00	0:1.00
	706	1:0.99	0:0.98	0:0.98	1:0.99	1:0.97	0:1.00	1:0.99
	707	1:0.99	0:0.96	0:0.99	1:0.95	0:1.00	0:1.00	0:0.88
	714	1:0.97	0:1.00	0:0.99	0:0.95	0:0.99	0:0.99	0:1.00
	719	1:0.96	0:1.00	0:0.99	1:0.99	1:0.97	0:1.00	1:0.99
	720	1:0.98	0:1.00	0:0.99	0:0.95	0:1.00	0:0.99	0:1.00
	726	1:0.99	0:1.00	0:0.99	1:0.99	1:0.98	0:1.00	1:1.00
	742	1:0.97	0:0.86	0:0.99	0:0.94	0:1.00	0:0.99	0:1.00
	748	1:0.99	0:0.89	0:0.95	1:0.56	0:0.98	0:0.98	0:0.99
	749	1:0.94	0:0.90	0:0.99	0:0.93	0:1.00	0:1.00	0:0.99
	753	1:0.98	0:0.88	0:0.99	0:0.93	0:1.00	0:1.00	0:0.99
	756	1:0.98	0:0.88	0:0.99	1:0.99	1:0.97	0:0.99	1:1.00
	765	1:0.99	0:0.86	0:0.99	0:0.79	0:1.00	0:1.00	0:0.99
	771	1:0.99	0:0.88	0:0.99	1:0.79	0:1.00	0:1.00	0:0.99
	780	1:0.99	0:0.88	0:0.99	1:0.98	1:0.98	0:1.00	1:1.00
	793	1:0.98	0:0.88	0:0.99	0:0.79	0:1.00	0:1.00	0:0.99
	828	1:0.99	0:0.84	0:0.99	1:0.89	1:0.97	0:1.00	1:0.88
	841	1:0.99	1:0.94	0:0.96	1:0.99	1:0.97	0:0.98	1:0.99
	844	1:1.00	0:0.83	0:1.00	1:0.99	1:0.98	0:1.00	1:0.99
	846	1:0.99	1:0.92	0:0.97	1:0.98	1:0.97	0:0.99	1:0.99
	852	1:0.97	0:0.81	0:0.99	1:0.85	0:0.89	0:0.99	0:0.88
	859	1:0.99	1:0.81	0:0.97	1:0.88	0:1.00	0:1.00	0:0.98
	882	1:0.99	1:0.82	0:0.97	1:0.90	0:1.00	0:1.00	0:0.98
	897	1:1.00	1:0.83	0:0.99	1:0.90	0:1.00	0:1.00	0:0.98
	923	1:1.00	1:0.90	0:0.99	1:1.00	0:1.00	0:1.00	0:0.96
	924	1:0.99	1:0.90	0:0.97	1:0.99	1:0.96	0:1.00	1:0.99
	927	1:0.99	1:0.90	0:0.99	1:0.98	0:1.00	0:1.00	0:0.96
	945	1:0.99	1:0.89	0:1.00	1:0.99	0:1.00	0:1.00	0:0.97
	950	1:1.00	1:0.88	0:1.00	1:1.00	0:0.98	0:0.99	0:0.96
	954	1:0.67	1:1.00	0:1.00	1:0.62	1:0.97	0:0.98	1:0.99
