Contig:MEG_470xxDrugsxxbetalactamsxxClass_C_betalactamasesxxACT,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
565	1:0.98	1:1.00	0:1.00	1:0.98	1:1.00	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99	1:0.99
566	1:0.98	1:0.98	0:0.99	1:0.99	1:1.00	0:0.99	0:0.99	1:0.99	1:0.98	0:1.00	0:1.00	1:0.99
576	0:0.99	1:0.93	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
622	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00
633	1:0.98	1:0.97	0:1.00	1:0.98	1:0.95	0:0.99	0:0.99	1:0.99	1:0.97	0:1.00	0:1.00	1:0.97
702	1:0.98	1:0.96	0:1.00	1:0.98	1:0.97	0:0.99	0:0.99	1:0.99	1:0.99	0:1.00	0:1.00	1:0.99
705	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
776	0:0.98	0:1.00	0:0.96	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:0.97	0:1.00	1:0.97	0:0.99
786	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	1:1.00	1:0.99	0:0.99
817	1:0.98	1:1.00	0:0.99	1:0.99	1:0.97	0:1.00	0:0.99	1:0.99	1:0.99	1:1.00	0:0.99	1:0.99
910	1:0.99	1:0.98	0:1.00	1:0.99	1:0.98	0:1.00	0:0.99	1:0.99	1:0.99	0:0.99	0:0.99	1:0.99
915	1:0.99	1:0.99	0:1.00	1:0.99	1:0.97	1:0.99	1:0.99	1:1.00	1:0.99	1:1.00	1:0.99	1:0.99
933	1:0.98	1:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	1:0.98	1:0.97	0:0.99	0:1.00	1:0.99
936	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	1:0.99
942	1:0.97	1:0.98	0:0.99	1:0.98	1:0.99	0:0.99	0:1.00	1:0.97	1:0.98	0:0.98	0:0.98	1:0.99
946	1:0.99	1:1.00	0:0.99	1:0.99	1:0.98	0:0.99	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	1:0.98
956	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00
1085	1:0.95	1:0.96	0:1.00	1:0.96	1:0.92	0:0.99	0:1.00	1:0.95	1:0.95	0:1.00	0:1.00	1:0.95
1107	1:0.98	0:0.99	0:0.97	0:1.00	0:0.98	0:0.99	0:1.00	0:0.98	0:0.98	0:0.98	0:0.98	0:1.00
1134	1:0.99	1:0.97	0:0.99	1:0.97	1:0.97	0:1.00	0:0.99	1:0.99	1:0.99	0:1.00	0:1.00	1:0.99
