Contig:MEG_3690xxDrugsxxLipopeptidesxxColistin_phosphoethanolamine_transferasexxMCR,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
1164	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
1188	1:1.00	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:1.00	0:0.99
1269	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
1283	1:1.00	0:0.99	1:0.98	1:0.98	0:0.98	0:1.00	0:0.99	0:1.00
1371	0:1.00	0:1.00	1:0.95	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
1372	0:1.00	0:1.00	1:0.94	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99
1374	0:1.00	0:0.99	1:0.96	0:1.00	0:1.00	0:0.98	0:1.00	0:0.97
1386	-	0:0.99	1:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00
1402	-	0:1.00	1:0.96	-	0:0.99	0:1.00	0:1.00	1:0.90
1428	-	0:0.98	1:0.98	-	0:1.00	0:0.98	0:0.98	0:1.00
1431	-	0:0.99	1:0.96	-	0:1.00	0:1.00	0:1.00	0:0.99
1477	-	0:0.97	1:0.98	-	0:0.99	0:0.98	0:1.00	0:1.00
1479	-	0:1.00	1:0.89	-	0:0.99	0:0.99	0:1.00	0:1.00
1480	-	0:0.98	1:0.91	-	0:0.99	0:0.98	0:1.00	0:1.00
1487	-	0:1.00	1:0.99	-	0:0.98	0:1.00	0:0.99	0:1.00
1488	-	0:0.98	1:0.99	-	0:0.99	0:0.98	0:0.99	0:1.00
