Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
519	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99
546	0:1.00	0:1.00	1:0.98	0:1.00	1:0.98	1:0.98	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
552	0:0.97	0:0.97	1:0.97	0:0.96	0:0.98	0:0.98	1:0.99	0:0.99	0:0.97	0:1.00	0:0.98	0:0.97
582	0:0.99	0:0.99	1:0.97	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
585	0:0.99	0:0.98	1:0.97	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:0.97
606	0:0.99	0:0.98	1:0.97	0:1.00	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
627	0:0.99	0:0.98	1:0.98	0:0.99	0:0.98	0:0.98	1:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.98
636	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97
639	0:0.98	0:0.99	1:0.98	0:0.99	0:0.99	0:0.98	1:0.98	0:1.00	0:0.98	0:0.99	0:0.98	0:0.99
651	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
657	0:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	1:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99
663	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
678	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.96	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
684	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	1:0.97	0:1.00	0:0.99	0:0.99	0:0.98	0:0.98
693	0:0.98	0:0.97	0:0.97	0:0.99	0:0.98	0:0.97	1:0.98	0:0.99	0:0.97	0:1.00	0:0.98	0:0.99
695	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.98	0:0.99
696	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	1:0.97
714	0:1.00	0:0.99	1:0.94	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99
734	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00
735	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
771	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99
784	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
819	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	1:0.97	1:0.93	1:0.92
822	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	1:0.99	1:0.98	1:0.98
831	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99
845	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
855	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99
873	0:0.98	0:0.99	1:0.95	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
915	0:0.98	0:0.99	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.98	1:0.99	0:0.98	0:0.99
934	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
945	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	1:0.96	0:1.00	1:0.98	0:1.00	1:0.98
1005	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:1.00	1:0.95	0:0.99	1:0.94	0:0.99	1:0.95
1014	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1032	0:0.97	0:0.98	0:0.98	1:0.99	0:0.97	0:0.98	0:0.99	1:0.98	0:0.98	1:0.97	0:0.98	0:0.98
1110	0:0.98	0:0.98	0:0.98	1:0.98	0:0.98	0:0.98	0:1.00	1:0.98	0:0.98	1:0.97	1:0.98	1:0.97
1131	0:0.96	0:0.98	1:0.99	0:0.96	0:0.97	0:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98
