Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
669	1:0.99	1:0.99	0:0.96	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99	1:0.95	1:0.98	1:0.97
723	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00
789	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00
795	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00
807	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.57	0:1.00	0:0.99
828	1:0.99	0:0.99	0:0.98	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
870	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.94	0:1.00	0:0.98
891	0:1.00	0:0.99	0:0.99	0:0.52	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99
921	1:0.78	1:0.99	0:0.98	1:0.95	1:0.99	1:0.98	1:0.99	1:0.98	1:0.87	1:0.98	1:0.99
946	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.51	0:1.00	0:0.99
1041	1:0.78	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
1114	0:1.00	1:0.98	0:1.00	0:1.00	1:0.99	1:0.98	1:0.97	1:0.98	0:0.99	1:0.98	1:0.98
1122	1:0.97	0:1.00	0:0.99	0:0.51	0:1.00	1:0.97	0:1.00	0:0.99	1:0.80	1:0.99	0:1.00
1212	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99
1215	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	0:0.97	0:1.00	1:0.99
1284	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	0:1.00	1:0.99
1308	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
1342	1:0.98	1:0.98	1:0.78	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.93	1:0.98	1:0.98
1362	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
1398	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99
1503	0:0.88	0:1.00	0:0.87	0:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	1:0.98
1508	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
1545	0:0.89	1:0.98	0:0.86	1:0.98	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	0:0.99	1:0.99
1611	0:1.00	1:0.98	0:0.99	1:0.98	0:1.00	1:0.98	1:0.99	0:1.00	0:0.99	1:0.99	1:0.98
1617	0:0.99	1:0.92	0:1.00	1:0.90	0:1.00	1:0.91	1:0.92	0:0.99	0:0.99	1:0.93	1:0.94
1618	0:0.99	1:0.91	0:1.00	1:0.89	0:1.00	1:0.91	1:0.92	0:0.99	0:0.99	1:0.91	1:0.95
1626	0:1.00	1:0.98	0:0.99	1:1.00	0:0.99	1:0.99	1:0.98	0:0.99	0:0.99	1:0.98	1:0.99
1629	0:0.99	1:0.97	0:1.00	1:0.95	0:0.99	1:0.96	1:0.98	0:0.99	0:0.99	1:0.97	1:0.97
1644	0:1.00	1:0.98	0:0.99	1:0.98	0:0.99	1:0.99	1:0.98	0:0.99	0:0.99	1:0.99	1:0.98
1653	0:0.99	1:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1659	0:1.00	1:0.99	0:1.00	1:0.98	0:1.00	1:0.98	1:0.99	0:1.00	0:1.00	1:0.98	1:0.99
1686	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	1:0.98	0:1.00
1697	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	0:0.99	1:0.99
1703	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.77	0:0.99	0:0.99	0:1.00	0:1.00
1960	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.93	0:0.99	0:1.00	0:1.00
1968	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.97	1:0.99	0:1.00
2007	1:0.96	1:0.95	0:0.99	1:0.94	0:0.99	1:0.96	1:0.96	1:0.96	0:1.00	1:0.95	1:0.98
2034	1:0.99	1:0.99	0:0.98	1:1.00	1:0.99	1:0.99	1:0.98	0:0.94	0:1.00	1:0.98	1:0.99
2079	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	1:0.76	0:1.00	0:0.99	1:0.98	0:1.00
2083	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
2124	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	1:0.75	0:1.00	0:0.99	0:0.99	0:1.00
2139	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
2247	1:0.98	1:0.99	1:0.54	0:1.00	0:1.00	1:0.99	1:0.99	1:0.98	0:1.00	1:0.98	1:0.98
2250	1:0.98	1:0.99	1:0.56	0:1.00	0:1.00	1:0.98	1:0.99	1:0.99	0:0.99	1:0.99	1:0.99
2253	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	1:0.99	0:1.00
2256	0:1.00	0:1.00	0:0.99	1:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
2337	1:0.99	0:0.99	0:0.99	1:0.97	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
2340	1:0.97	0:1.00	0:1.00	1:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
2343	1:0.97	0:1.00	0:0.99	1:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
2348	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
2355	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
2388	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	1:0.73	0:1.00	0:1.00	1:0.98	0:1.00
2409	1:0.98	0:1.00	1:0.81	1:0.98	1:0.99	1:0.98	1:0.99	1:0.98	0:0.99	1:0.99	1:0.97
2514	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
2516	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00
2529	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98
2550	1:0.97	1:0.95	1:0.92	1:0.95	1:0.96	1:0.96	1:0.95	1:0.95	0:0.99	1:0.95	1:0.86
2670	1:0.99	1:0.99	1:0.94	1:0.97	1:0.99	1:0.98	1:0.98	1:0.98	0:0.99	1:0.99	1:1.00
2679	1:0.98	1:0.99	1:0.93	1:0.97	1:0.99	1:0.98	1:0.98	1:0.98	0:1.00	1:0.98	1:1.00
2706	1:0.96	0:1.00	1:0.94	0:1.00	1:0.96	1:0.97	1:0.97	1:0.97	0:0.99	1:0.97	1:1.00
2778	0:0.99	1:0.96	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
2871	0:1.00	1:0.98	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	-
2904	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	-
2907	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	-
2916	0:0.98	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	-
2966	0:1.00	0:1.00	0:0.93	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.69	0:1.00	0:1.00
3102	0:1.00	1:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
3132	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00
