Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
372	1:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	1:0.99	0:1.00	0:0.99
373	1:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99
387	1:0.99	0:0.98	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.98	0:0.99
393	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
397	0:0.98	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99
405	1:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99
416	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.69	0:0.99	0:1.00	0:1.00	0:1.00
420	1:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
426	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99
432	1:0.96	0:0.98	0:0.99	1:0.92	0:0.99	0:0.99	1:0.95	0:1.00	0:0.99	1:0.92	0:0.98	0:0.98
437	0:0.99	0:0.99	0:0.98	1:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99
447	0:0.99	0:1.00	0:0.98	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
454	0:0.99	1:0.99	1:0.97	1:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98
456	0:0.99	1:0.97	1:0.95	1:0.95	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.95
477	1:0.97	0:0.97	0:0.99	0:0.98	0:1.00	0:0.97	0:0.97	0:0.98	0:0.97	0:0.99	0:0.96	0:0.97
480	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00
481	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
484	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99
519	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99
546	1:0.97	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00
552	0:0.97	0:0.97	0:1.00	1:0.98	0:1.00	0:0.97	0:0.97	0:0.99	0:0.98	1:0.98	0:0.99	0:0.98
582	0:0.99	0:0.99	0:0.98	1:0.97	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
585	0:0.99	0:0.99	0:0.98	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	1:0.99	0:0.98	0:0.99
606	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	0:1.00
627	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98
636	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00
639	0:0.99	0:0.97	0:0.98	1:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98	0:0.98	0:0.98
651	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00
657	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.97	0:0.98	0:0.98	0:0.98	1:0.97	0:0.98	0:0.98
663	0:0.99	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
678	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:1.00
684	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	1:0.97	0:0.98	0:0.98
693	0:0.97	0:0.98	0:0.98	0:0.98	0:0.99	0:0.97	0:0.97	0:0.99	0:0.98	1:0.99	0:0.98	0:0.98
695	0:0.99	0:0.97	0:0.99	0:0.98	0:1.00	0:0.98	0:0.97	0:0.69	0:1.00	0:1.00	0:0.98	0:0.97
696	0:0.99	0:0.97	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:1.00	1:0.97	0:0.99	0:0.99	0:0.98
714	0:0.99	0:1.00	0:0.99	1:0.93	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
734	0:0.99	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
735	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	1:0.96	0:0.99	0:0.99
771	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99
784	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00
819	0:0.99	0:0.99	0:1.00	0:0.99	1:0.95	0:0.99	0:0.99	1:0.95	1:0.92	0:0.99	0:0.99	1:0.93
822	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	1:0.99
831	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00
845	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00
855	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	1:0.98
873	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
915	0:0.98	0:0.98	0:0.97	0:0.98	1:0.99	0:0.99	0:0.98	1:0.98	0:0.98	0:0.99	0:0.98	0:0.98
934	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
945	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	1:0.98	1:0.98	0:0.99	0:1.00	0:1.00
1005	0:0.98	0:0.99	0:0.98	0:0.99	1:0.95	0:0.99	0:0.98	1:0.96	1:0.96	0:1.00	0:0.99	0:0.99
1014	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1032	0:0.98	0:0.97	0:0.99	0:0.98	1:0.97	0:0.98	0:0.98	1:0.98	0:0.99	0:0.99	0:0.97	0:0.99
1110	0:0.97	0:0.97	0:0.96	0:0.98	1:0.96	0:0.99	0:0.98	1:0.97	1:0.98	0:1.00	0:0.99	1:0.97
1131	0:0.98	0:0.98	0:0.96	1:0.98	0:1.00	0:0.96	0:0.98	0:0.99	0:0.97	0:0.99	0:0.97	0:0.97
