Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15
807	1:1.00	1:0.97	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.94	1:0.99	0:1.00	1:1.00
819	1:0.98	1:0.99	1:0.98	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00
825	1:0.97	1:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00
831	1:0.99	1:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00
838	0:1.00	0:0.99	0:0.99	0:0.99	0:0.97	0:0.98	1:0.95	0:0.98	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.97	0:0.99	0:1.00
847	1:0.97	1:0.99	1:1.00	0:1.00	0:0.98	0:0.95	1:0.98	0:1.00	0:0.97	0:1.00	0:0.99	0:1.00	0:0.86	1:0.99	0:1.00	1:1.00
852	1:0.86	1:0.99	1:0.99	0:0.99	0:0.98	0:0.98	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	1:1.00
854	1:0.97	0:0.96	0:0.89	0:0.99	0:0.98	0:1.00	0:0.78	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.76	0:0.99	0:0.74
858	1:0.84	1:0.96	1:0.94	0:0.96	0:0.97	1:0.94	1:0.92	0:0.97	1:0.94	0:0.97	0:0.98	0:0.93	1:0.93	1:0.92	0:0.98	1:0.91
860	1:0.62	0:0.95	0:0.92	0:0.99	0:0.99	0:0.91	0:0.87	0:0.98	0:0.86	0:0.99	0:0.99	0:1.00	0:0.77	0:0.87	0:0.99	0:0.83
871	1:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:1.00
912	0:1.00	0:1.00	1:0.99	0:1.00	0:0.98	0:0.96	1:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.89	0:1.00	1:0.99	0:0.99	0:0.81
915	0:0.99	0:1.00	1:0.99	0:1.00	0:0.97	0:1.00	1:0.97	0:1.00	0:0.96	0:0.99	0:0.99	0:1.00	0:0.93	1:0.91	0:1.00	0:0.80
920	0:1.00	0:1.00	1:0.92	0:0.99	0:0.97	0:1.00	1:0.91	0:1.00	0:0.97	0:0.99	0:1.00	0:1.00	0:1.00	1:0.94	0:0.99	0:0.77
921	0:1.00	0:0.99	1:0.89	0:1.00	0:0.99	0:0.98	1:0.91	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.91	0:1.00	0:0.79
1013	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.98	0:0.99	0:0.97	0:1.00	0:0.94	1:0.70	0:0.99	0:0.98
1014	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	0:1.00	0:0.96	0:0.99	0:0.99	0:1.00	0:0.89	1:0.88	0:0.98	0:0.96
1237	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:1.00
1241	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.91	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	1:0.93	0:1.00	0:1.00	0:0.99
1310	0:0.97	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99
1339	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.95	1:0.97	1:0.98	1:0.94	0:0.99	0:0.99	0:1.00	1:0.84	0:0.99	0:1.00	0:0.99
1348	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1359	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99
1362	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.89	1:0.88	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1365	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.96	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.93	0:0.99	0:0.99	0:1.00
1368	0:0.97	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	1:0.98	1:0.98	0:0.98	0:0.99	0:1.00	0:1.00	0:0.94	0:0.99	0:0.99	0:0.99
1372	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.96	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00
1374	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1416	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	1:0.97	1:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
1437	0:1.00	0:0.98	0:0.98	0:0.99	1:0.89	1:0.97	1:0.93	1:0.89	0:0.99	0:1.00	1:0.95	1:0.93	0:1.00	0:0.99	0:1.00	0:1.00
1452	1:0.97	1:0.99	1:0.98	0:1.00	1:0.99	1:0.95	1:0.98	1:0.99	0:1.00	0:0.59	1:0.96	1:0.84	0:1.00	0:1.00	0:1.00	1:0.97
1455	1:1.00	1:0.98	1:0.98	0:1.00	1:0.98	1:0.98	1:0.98	1:0.99	1:0.96	1:0.99	1:0.98	1:0.94	1:1.00	0:0.99	0:1.00	1:0.99
1467	1:1.00	1:0.99	1:0.98	0:0.99	1:0.98	1:0.98	1:0.98	1:0.99	1:0.98	1:0.98	1:0.97	1:1.00	1:1.00	0:1.00	0:1.00	1:0.98
1488	1:0.98	1:0.97	1:0.97	0:1.00	1:0.98	1:0.98	1:0.97	1:0.99	1:0.99	1:0.99	1:0.98	1:1.00	1:0.92	1:0.98	0:1.00	1:1.00
1551	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00
1752	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
1879	0:0.94	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00
1880	0:1.00	0:0.99	1:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:0.97	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	1:0.76
