Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
324	0:0.97	1:0.95	1:0.95	0:0.97	0:0.97	0:0.97	0:0.97	0:0.96	0:0.99	0:0.99	0:1.00	0:0.99
326	0:0.99	1:0.96	1:0.97	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
333	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
372	1:0.98	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:0.99	0:0.99	0:0.99
373	1:0.99	1:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00
387	1:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.98	1:0.99	0:0.99	0:0.99
393	0:0.99	1:0.98	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
397	0:0.98	1:0.97	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.99	0:1.00	0:0.99
405	1:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00	0:0.99	0:1.00
416	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.67
420	1:0.98	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
426	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99
432	1:0.96	1:0.92	1:0.95	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	1:0.92	0:0.99	0:1.00
437	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:0.98	0:0.99
447	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
454	0:0.99	1:0.99	1:0.98	0:0.99	1:0.98	1:0.98	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
456	0:0.99	1:0.95	0:0.99	0:0.99	1:0.95	1:0.96	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
477	1:0.97	0:0.98	0:0.97	0:0.97	0:0.97	0:0.99	0:0.97	0:0.97	0:0.96	0:0.99	0:1.00	0:0.98
480	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99
481	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
484	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99
519	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
546	1:0.97	1:0.98	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99
552	0:0.97	1:0.98	0:0.97	0:0.97	0:0.98	0:0.99	0:0.97	0:0.98	0:0.99	1:0.98	0:1.00	0:0.99
582	0:0.99	1:0.97	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
585	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	1:0.99	0:1.00	0:1.00
606	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00	0:1.00
627	0:0.98	1:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99
636	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00
639	0:0.99	1:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.97	0:0.99	0:0.98	1:0.98	0:0.99	0:0.99
651	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99
657	0:0.98	0:0.99	0:0.98	0:0.97	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	1:0.97	0:0.99	0:0.98
663	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
678	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99
684	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	1:0.97	0:0.99	0:0.98
693	0:0.97	0:0.98	0:0.97	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	1:0.99	0:0.99	0:0.99
695	0:0.99	0:0.98	0:0.97	0:0.98	0:0.97	0:0.99	0:0.97	0:1.00	0:0.98	0:1.00	0:1.00	0:0.68
696	0:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:0.99	0:0.97	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00
714	0:0.99	1:0.93	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
734	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00
735	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.96	0:0.98	0:1.00
771	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99
784	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:0.99
819	0:0.99	0:0.99	0:0.99	0:0.99	1:0.93	0:1.00	0:1.00	1:0.92	0:0.98	0:0.99	1:0.95	1:0.96
822	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	1:0.98	1:0.98
831	0:0.99	0:0.98	0:0.99	0:0.99	1:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
845	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00
855	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
873	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
915	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	0:0.97	0:0.98	0:0.98	0:0.98	0:0.99	1:0.99	1:0.98
934	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
945	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	1:0.98	1:0.98
1005	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	1:0.96	0:0.99	0:1.00	1:0.95	1:0.96
1014	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
1032	0:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.97	0:0.99	0:0.97	0:0.99	1:0.97	1:0.98
1110	0:0.97	0:0.98	0:0.98	0:0.99	1:0.97	0:0.96	0:0.97	1:0.98	0:0.99	0:1.00	1:0.96	1:0.97
1131	0:0.98	1:0.98	0:0.98	0:0.96	0:0.97	0:0.96	0:0.99	0:0.97	0:0.97	0:0.99	0:1.00	0:0.99
