Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
454	0:0.99	0:1.00	0:1.00	1:0.98	1:0.99	0:1.00	0:0.99	1:0.97	1:0.98	0:0.99	1:0.99	0:0.99
456	0:0.99	0:1.00	0:0.99	1:0.95	1:0.95	0:0.99	0:0.99	1:0.95	0:0.99	0:1.00	1:0.97	0:0.99
477	1:0.97	0:1.00	0:0.97	0:0.97	0:0.98	0:0.98	0:0.96	0:0.99	0:0.97	0:0.99	0:0.97	0:0.97
480	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00
481	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99
484	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00
519	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99
546	1:0.97	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	1:0.97	1:0.98	0:1.00	0:1.00
552	0:0.97	0:1.00	0:0.98	0:0.98	1:0.98	0:0.99	0:0.99	0:1.00	0:0.97	1:0.98	0:0.97	0:0.97
582	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.98
585	0:0.99	0:1.00	0:0.98	0:0.99	1:0.98	0:0.99	0:0.98	0:0.98	0:0.99	1:0.99	0:0.99	0:0.99
606	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:0.99
627	0:0.98	0:0.99	0:0.99	0:0.98	1:0.98	0:0.99	0:0.99	0:0.99	0:0.98	1:0.98	0:0.99	0:0.98
636	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
639	0:0.99	0:0.99	0:0.99	0:0.98	1:0.98	0:0.99	0:0.98	0:0.98	0:0.98	1:0.98	0:0.97	0:0.99
651	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
657	0:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	1:0.97	0:0.99	0:0.97
663	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
678	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99
684	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	1:0.97	0:0.98	0:0.99
693	0:0.97	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.97	1:0.99	0:0.98	0:0.97
695	0:0.99	0:1.00	0:1.00	0:0.97	0:0.98	0:0.69	0:0.98	0:0.99	0:0.97	0:1.00	0:0.97	0:0.98
696	0:0.99	0:0.99	1:0.97	0:0.98	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.97	0:0.98
714	0:0.99	0:0.99	0:0.99	0:0.99	1:0.93	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
734	0:0.99	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
735	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:0.99
771	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
784	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00
819	0:0.99	1:0.95	1:0.92	1:0.93	0:0.99	1:0.95	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
822	0:0.99	1:0.98	1:0.98	1:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
831	0:0.99	0:0.99	0:0.99	1:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
845	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00
855	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00
873	0:0.99	0:0.99	0:0.99	0:0.99	1:0.94	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
915	0:0.98	1:0.99	0:0.98	0:0.98	0:0.98	1:0.98	0:0.98	0:0.97	0:0.98	0:0.99	0:0.98	0:0.99
934	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
945	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1005	0:0.98	1:0.95	1:0.96	0:0.99	0:0.99	1:0.96	0:0.99	0:0.98	0:0.98	0:1.00	0:0.99	0:0.99
1014	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99
1032	0:0.98	1:0.97	0:0.99	0:0.99	0:0.98	1:0.98	0:0.97	0:0.99	0:0.98	0:0.99	0:0.97	0:0.98
1110	0:0.97	1:0.96	1:0.98	1:0.97	0:0.98	1:0.97	0:0.99	0:0.96	0:0.98	0:1.00	0:0.97	0:0.99
1131	0:0.98	0:1.00	0:0.97	0:0.97	1:0.98	0:0.99	0:0.97	0:0.96	0:0.98	0:0.99	0:0.98	0:0.96
