Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
2355	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:1.00	1:0.99
2388	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	1:0.99	0:0.99	1:0.72	0:0.99
2409	1:0.96	1:0.99	1:0.98	1:0.62	0:0.99	1:0.99	1:0.98	1:0.98	1:1.00	1:0.99	0:1.00
2514	0:0.99	0:0.99	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00
2516	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00
2529	0:1.00	0:1.00	1:0.98	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	1:0.99
2550	1:0.95	1:0.96	1:0.95	1:0.56	0:1.00	1:0.95	1:0.95	1:0.96	1:0.97	1:0.97	1:0.97
2670	1:0.55	1:0.99	1:0.98	0:0.80	0:0.99	1:0.98	1:0.96	1:0.99	1:0.99	1:0.99	1:0.98
2679	1:1.00	1:0.99	1:0.98	0:0.78	0:1.00	1:0.99	1:0.94	1:0.97	1:0.97	1:0.99	1:0.98
2706	1:1.00	1:0.98	1:0.97	0:0.73	0:0.99	1:0.97	0:1.00	1:0.97	1:0.98	1:0.96	0:0.99
2778	-	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.95
2871	-	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.98	1:0.98
2904	-	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	1:0.98
2907	-	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98
2916	-	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98	1:0.98	0:1.00	0:1.00	1:0.98
2966	-	0:0.99	0:1.00	1:1.00	0:0.68	0:0.99	0:0.91	0:0.99	0:1.00	0:1.00	0:1.00
3102	-	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:1.00	1:0.98	0:1.00	0:0.99	1:0.98
3132	-	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00
