Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14
522	0:1.00	0:1.00	0:0.97	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.96	0:0.99	0:0.99	0:1.00	0:1.00
552	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00
591	0:1.00	0:0.97	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00
609	1:0.98	1:1.00	1:0.97	1:0.98	1:0.97	0:0.99	1:0.98	1:0.98	1:0.97	0:1.00	1:0.97	0:1.00	1:0.98	0:1.00	1:1.00
669	1:0.99	1:0.98	1:0.96	1:0.98	1:0.98	1:0.98	1:0.99	1:0.98	1:0.99	0:1.00	1:0.94	1:0.99	1:0.98	0:1.00	1:1.00
723	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
789	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.94	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00
795	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
807	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00
828	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	1:0.99	0:1.00	0:1.00	0:0.98	1:1.00	1:0.97	0:1.00	-
870	0:1.00	0:1.00	0:0.96	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:0.95	0:0.97	1:0.98	0:1.00	0:1.00
891	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	-	0:0.99	0:1.00	0:1.00
921	1:0.98	0:0.99	1:0.98	1:0.98	1:0.98	1:0.99	1:1.00	1:0.98	1:0.99	0:1.00	1:0.97	1:0.99	1:0.99	0:1.00	0:1.00
946	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00
1041	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1114	1:0.99	0:1.00	0:1.00	1:0.98	1:0.98	1:0.98	0:1.00	1:0.97	1:0.97	0:1.00	0:1.00	0:1.00	1:0.97	1:0.88	0:0.94
1122	0:1.00	0:0.74	1:0.98	0:1.00	0:0.99	1:0.91	1:0.97	1:0.99	0:0.99	0:1.00	1:0.98	1:0.51	0:0.99	0:1.00	0:1.00
1212	1:0.99	0:1.00	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1215	1:0.98	0:1.00	0:0.97	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	1:0.99	0:1.00	0:0.97	0:0.99	0:0.99	0:1.00	0:1.00
1284	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
1308	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.98
1342	1:0.99	1:1.00	1:1.00	1:0.97	1:0.98	1:0.99	1:0.99	1:0.98	1:0.98	1:1.00	1:0.99	1:0.99	1:0.99	1:1.00	1:1.00
1362	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00
1398	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1503	1:0.99	1:1.00	0:1.00	0:0.99	0:0.99	0:0.94	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97
1508	0:1.00	0:1.00	0:1.00	0:0.99	1:0.96	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.98
1545	1:0.98	1:0.98	0:1.00	0:0.99	1:0.98	1:0.98	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	1:1.00
1611	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	1:0.99	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.96
1617	1:0.90	0:0.96	0:0.99	0:0.99	1:0.93	1:0.93	0:0.99	1:0.93	1:0.93	0:1.00	0:0.98	1:0.96	0:1.00	0:0.99	0:0.98
1618	1:0.92	0:1.00	0:0.98	0:1.00	1:0.92	1:0.92	0:1.00	1:0.92	1:0.90	0:1.00	0:0.98	1:0.89	0:0.99	0:0.99	0:1.00
1626	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.99	0:1.00	1:0.98	1:0.99	0:0.98	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00
1629	1:0.98	0:1.00	0:0.98	0:1.00	1:0.97	1:0.96	0:1.00	1:0.95	1:0.97	0:0.98	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00
1644	1:0.98	0:1.00	0:0.99	0:1.00	1:0.98	1:0.98	0:1.00	1:0.99	1:0.99	0:1.00	0:0.98	1:1.00	0:1.00	0:1.00	0:0.97
1653	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
1659	1:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.99	0:0.99	1:0.98	1:0.98	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00
1686	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.97	0:1.00	0:0.99	0:1.00	0:0.98
1697	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97
1703	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.65	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
1960	0:0.98	0:1.00	0:0.98	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	1:0.89	0:0.99
1968	0:0.98	0:1.00	0:0.96	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.95	0:1.00	0:0.99	0:0.99	0:0.98
2007	1:0.90	0:1.00	0:0.99	1:0.97	1:0.97	1:0.98	1:0.95	1:0.95	1:0.96	0:0.99	0:0.99	1:0.94	0:0.99	1:0.97	0:1.00
2034	1:1.00	0:1.00	0:0.99	0:0.99	1:0.99	1:0.98	1:0.97	1:0.98	1:0.98	0:1.00	0:1.00	1:0.97	1:0.98	0:0.90	0:0.94
2079	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.64	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.98
2083	0:1.00	-	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
2124	0:1.00	-	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.62	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99
2247	-	-	0:1.00	1:1.00	1:0.99	1:0.99	1:0.94	1:0.99	1:0.99	0:1.00	0:0.99	0:0.98	0:0.99	1:0.98	1:0.98
2250	-	-	0:0.99	1:0.99	1:0.99	1:0.98	1:1.00	1:0.98	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	1:0.97
2253	-	-	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.97	0:0.98	0:0.99	0:0.99	0:1.00
2256	-	-	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	1:1.00	0:0.99	0:1.00
2337	-	-	0:1.00	0:1.00	0:1.00	1:0.97	1:0.98	0:1.00	0:1.00	0:1.00	0:0.98	1:0.99	0:1.00	0:1.00	0:0.98
2340	-	-	0:0.98	0:1.00	0:0.99	1:0.98	1:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.98
2343	-	-	0:1.00	0:1.00	0:0.99	1:0.97	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00	0:0.98	0:0.99	0:0.99
2348	-	-	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:0.99	0:0.99
2355	-	-	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.97	0:0.99	0:0.99	0:1.00
2388	-	-	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	1:0.99	1:0.61	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00
2409	-	-	0:0.97	1:0.99	0:1.00	1:0.98	1:1.00	1:0.98	1:0.98	0:1.00	0:1.00	1:0.98	1:0.99	1:0.99	1:0.99
2514	-	-	0:1.00	0:0.98	0:1.00	1:0.95	1:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
2516	-	-	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
2529	-	-	0:0.77	0:1.00	1:0.99	1:0.98	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
2550	-	-	0:1.00	1:0.90	1:0.97	1:0.94	1:0.96	1:0.96	1:0.96	0:0.99	0:1.00	1:0.96	1:0.95	1:0.97	1:0.95
2670	-	-	0:1.00	1:1.00	1:0.98	1:0.99	1:1.00	1:0.99	1:0.98	0:0.99	0:1.00	1:0.99	1:0.99	1:0.98	1:0.97
2679	-	-	-	1:1.00	1:0.98	1:0.97	1:1.00	1:0.97	1:0.99	0:1.00	0:1.00	1:0.98	1:0.99	1:0.98	1:1.00
2706	-	-	-	1:0.92	0:0.99	1:0.98	1:1.00	1:0.97	1:0.96	0:0.99	0:1.00	0:1.00	1:0.97	1:0.97	1:0.95
2778	-	-	-	0:1.00	1:0.95	0:1.00	0:0.82	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
2871	-	-	-	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
2904	-	-	-	0:1.00	1:0.98	0:0.98	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98
2907	-	-	-	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
2916	-	-	-	0:1.00	1:0.98	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00
2966	-	-	-	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98
3102	-	-	-	0:1.00	1:0.97	0:0.98	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00
3132	-	-	-	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.98	1:0.98	0:1.00	0:0.96
