Contig:MEG_7115xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETM,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15
777	0:1.00	1:0.99	1:0.98	0:0.98	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.97	1:1.00	0:1.00	0:0.98	1:0.99	0:1.00	-
778	0:1.00	1:0.97	1:0.96	0:0.99	0:0.99	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	1:0.57	0:0.96	0:1.00	1:0.95	0:0.98	-
789	0:0.99	1:0.96	1:0.97	0:1.00	0:1.00	1:0.94	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	1:0.95	0:1.00	-
807	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99	1:0.99	0:1.00	1:1.00	0:1.00	0:0.99	1:0.97	0:1.00	-
819	0:0.99	1:0.99	1:0.98	0:0.98	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	-
825	0:0.99	1:0.99	1:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00	0:0.97	1:0.99	0:1.00	-
831	0:1.00	1:0.98	1:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00	0:1.00	1:0.99	0:1.00	-
838	0:0.98	1:0.95	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.97	0:0.97	0:1.00	0:0.98	0:0.96	0:0.99	0:0.99	-
847	0:1.00	1:0.98	1:1.00	0:0.98	0:0.99	1:0.97	0:1.00	0:0.99	1:0.99	0:0.97	1:1.00	0:0.95	0:0.95	1:0.98	0:0.99	-
852	0:1.00	1:0.97	1:0.99	0:1.00	0:0.99	1:0.87	0:0.99	0:1.00	1:0.97	0:0.99	1:1.00	0:0.98	0:0.98	1:0.98	0:1.00	-
854	0:1.00	0:0.78	0:0.88	0:0.98	0:0.99	1:0.98	0:0.99	0:0.99	0:0.76	0:0.99	0:0.83	0:1.00	0:0.99	0:0.96	0:0.99	-
858	0:0.97	1:0.92	1:0.94	1:0.93	0:0.97	1:0.83	0:1.00	0:0.98	1:0.92	0:0.96	1:1.00	1:0.94	1:0.95	1:0.95	0:0.97	-
860	0:0.98	0:0.87	0:0.92	0:0.87	0:0.99	1:0.61	0:1.00	0:0.99	0:0.87	0:0.98	0:1.00	0:0.92	0:0.84	0:0.94	0:0.99	-
871	0:0.99	0:1.00	1:0.99	0:0.98	0:0.99	1:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:1.00	0:0.98	0:0.99	1:0.99	0:0.99	-
912	0:0.99	1:0.98	1:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:0.98	1:0.99	0:0.97	0:1.00	0:0.96	0:0.99	0:0.99	0:0.99	0:1.00
915	0:1.00	1:0.97	1:0.99	0:0.97	0:1.00	0:0.99	0:0.98	0:0.99	1:0.91	0:0.95	0:1.00	0:0.98	0:0.97	0:1.00	0:1.00	0:1.00
920	0:1.00	1:0.91	1:0.92	0:0.96	0:0.99	0:1.00	0:1.00	0:1.00	1:0.94	0:0.98	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00
921	0:0.98	1:0.91	1:0.88	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.91	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00
1013	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.97	1:0.70	0:0.98	0:1.00	0:1.00	0:0.98	0:0.98	0:1.00	0:1.00
1014	0:1.00	0:0.99	0:0.99	0:0.95	0:0.99	0:0.99	0:0.99	0:0.99	1:0.88	0:0.98	0:1.00	0:0.98	0:0.97	0:0.99	0:0.99	0:1.00
1237	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	1:1.00	0:1.00	0:0.99	0:1.00
1241	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.91	1:0.98	0:0.99	0:0.99	0:1.00
1310	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	0:0.96	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
1339	1:0.98	1:0.97	0:1.00	1:0.94	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	1:0.92	0:0.99	0:1.00	0:1.00
1348	1:0.98	1:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1359	1:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
1362	1:0.89	1:0.89	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98
1365	1:0.97	1:0.96	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.97	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99
1368	1:0.98	1:0.98	0:1.00	0:0.98	0:0.99	0:0.97	0:1.00	0:1.00	0:0.99	0:0.97	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99
1372	1:0.97	1:0.96	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
1374	1:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
1416	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.94	0:0.99	0:0.99	1:0.97	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00
1437	1:0.89	1:0.93	0:0.98	0:1.00	0:0.99	0:1.00	0:0.95	1:0.95	0:0.99	1:0.87	1:1.00	1:0.97	0:0.98	0:1.00	0:0.99	0:0.99
1452	1:0.99	1:0.98	1:0.99	0:1.00	0:1.00	1:0.97	0:0.95	1:0.97	0:1.00	1:0.98	1:0.97	1:0.95	0:1.00	1:0.98	0:0.99	0:0.99
1455	1:0.99	1:0.98	1:0.98	1:0.96	0:1.00	1:0.98	1:0.99	1:0.98	0:0.99	1:0.97	1:1.00	1:0.98	1:0.96	1:0.99	0:1.00	0:1.00
1467	1:0.99	1:0.98	1:0.99	1:0.98	0:0.99	1:1.00	1:1.00	1:0.97	0:1.00	1:0.98	1:0.97	1:0.98	1:0.99	1:0.98	0:1.00	0:1.00
1488	1:0.99	1:0.97	1:0.97	1:0.99	0:1.00	1:0.98	1:1.00	1:0.98	1:0.98	1:0.98	1:0.96	1:0.98	1:0.97	1:0.97	0:0.99	0:0.98
1551	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98
1752	1:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
1879	1:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.96	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00	0:0.99	0:0.99
1880	0:0.97	0:1.00	1:0.99	0:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98
