Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
804	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.95	1:0.98
807	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98
808	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.97
810	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	1:0.99
814	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	1:0.99
821	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.88	1:0.91
822	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.94	1:0.96
823	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.96	1:0.95
832	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	1:0.99
838	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.92	1:0.95
839	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.85	1:0.90
840	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98
841	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98
845	1:0.98	0:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.96	0:0.99	0:0.99	0:1.00
852	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	1:0.99
858	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.91	1:0.93
861	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	1:0.97	1:0.98
873	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.99
879	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.97	0:0.99	1:0.99	1:0.98
884	0:1.00	1:0.98	0:0.99	0:1.00	1:0.98	1:0.97	0:0.99	0:1.00	1:0.98	1:0.99
886	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	1:0.99
887	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.90	1:0.91
889	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.92	1:0.95
891	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97	0:1.00	1:0.98	1:0.99
893	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.99
897	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	1:0.99	1:0.99
908	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.83	0:0.99	2:0.95	2:0.95
909	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:1.00	0:0.90	0:0.92
910	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.92	1:0.97
911	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	1:0.96	1:0.97
913	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.91	1:0.89
914	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	1:0.97
915	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.91	0:0.99	1:0.99	1:0.99
917	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.93	0:1.00	0:0.99	0:0.99
920	0:0.98	0:0.99	2:0.98	0:0.99	0:0.99	0:0.99	0:0.88	0:0.99	1:0.96	1:0.96
921	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:0.80	1:0.83
924	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.84	1:0.89
926	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	1:0.98
927	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.88	0:0.99	1:0.98	1:0.97
930	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	2:0.72	0:0.99	1:0.92	1:0.95
933	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	1:0.94	0:0.99	2:0.95	2:0.98
936	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	1:0.98	1:0.98
942	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	1:0.95	1:0.97
948	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.97	0:1.00	1:0.98	1:0.98
949	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:0.89	0:0.91
950	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	1:0.93	1:0.95
951	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
952	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00
957	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.87	1:0.94
958	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.93	0:0.99	2:0.80	2:0.87
959	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.92	0:0.99	0:0.98	0:0.99
964	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.99	1:1.00	1:0.98
966	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.96	0:0.97
969	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.93	0:0.99	0:0.99	0:0.99
972	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:0.99
973	0:1.00	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	1:0.93	0:0.99	0:0.98	0:0.99
974	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.95	0:0.99	0:1.00	0:0.99
975	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
976	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	1:0.97	1:0.99
979	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.93	0:1.00	0:0.86	0:0.89
983	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.81	0:0.99	1:0.94	1:0.95
984	0:0.99	0:0.97	0:0.99	0:0.99	0:0.99	0:0.99	1:0.92	0:0.99	0:0.87	0:0.92
987	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99	0:0.94	0:0.93
992	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:0.72	1:0.67
993	1:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	1:0.95	1:0.95
996	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	2:0.97	0:0.99	1:0.96	1:0.98
997	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:1.00
1002	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	2:0.97	0:0.98	1:0.98	1:0.96
1005	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99
1007	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:0.98
1009	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.93	1:0.96
1010	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.93	0:0.99	0:0.98	0:1.00
1011	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	1:0.82	1:0.88
1012	0:0.98	0:0.97	0:0.99	0:0.99	0:0.98	0:0.99	2:0.93	0:0.97	1:0.97	1:0.95
1013	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	1:0.97	1:0.97
1014	0:0.99	0:0.97	0:0.99	0:0.99	0:0.98	0:0.98	2:0.98	0:0.98	1:0.89	1:0.89
1020	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99
1026	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98	0:1.00
1027	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00
1029	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:1.00	0:0.99	0:0.99
1032	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.95	0:1.00	0:0.98	0:0.99
1033	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.89	0:0.99	0:0.97	0:0.99
1035	0:0.99	0:0.96	0:1.00	0:1.00	0:0.99	0:1.00	1:0.96	0:1.00	0:0.98	0:0.99
1036	0:1.00	1:0.98	0:0.99	0:0.99	1:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99
1038	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99
1040	0:0.99	0:0.97	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99
1041	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00
1047	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	1:0.97	1:0.93
1048	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.91	0:1.00	1:0.98	1:0.97
1049	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.79	0:0.99	0:0.99	0:0.99
1050	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:0.98	0:0.96
1052	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.96	0:0.99	1:0.89	1:0.98
1053	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.84	0:0.99	1:1.00	0:1.00
1054	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.96	0:0.99	1:0.96	1:0.95
1055	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.90	0:1.00	1:0.88	1:0.98
1056	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.59	0:1.00	1:0.92	1:0.96
1058	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	0:0.85	0:0.98	1:0.65	1:0.89
1059	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.88	0:0.99	1:0.70	1:0.86
1063	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.99	0:0.99	1:0.98	1:0.97
1065	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00
1066	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.95	0:1.00	1:0.99	1:0.99
1068	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.89	0:1.00	0:0.99	0:1.00
1071	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.90	0:1.00	1:0.99	1:0.99
1072	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.93	0:1.00	1:0.99	1:0.99
1078	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.90	0:0.99	0:0.99	0:0.99
1079	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00
1080	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.90	0:0.99	2:0.96	2:0.97
1081	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99
1083	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.89	0:1.00	1:0.99	1:0.99
1084	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	1:0.91	0:0.99	0:0.99	0:0.99
1086	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.90	0:0.99	0:0.97	0:0.99
1087	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.96	0:0.99	0:0.95	0:0.98
1088	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	1:0.96	1:0.98
1089	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	1:0.99	1:0.98
1092	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99
1095	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.93	0:0.99	0:1.00	0:1.00
1096	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:0.98	0:0.99	2:0.98	2:0.99
1097	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	1:0.98
1101	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.94	0:1.00	0:1.00	0:0.99
1104	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.95	0:0.99	1:0.96	1:0.96
1105	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97	0:0.99	0:0.98	0:1.00
1107	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	2:0.97	0:1.00	1:0.97	1:0.98
1110	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	1:0.99
1111	0:0.98	2:0.98	0:0.98	0:0.99	2:0.98	0:0.99	1:0.97	0:0.98	1:0.96	1:0.98
1112	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.98	0:0.99	0:0.99
1113	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.89	0:1.00	2:0.95	2:0.99
1119	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.96	1:0.99
1123	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	1:0.97
1126	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.96	1:0.97
1179	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
1180	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
1221	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.97	0:0.99
1410	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
1674	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
1708	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
1749	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
1784	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:0.99
Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
29	0:0.99	0:1.00	0:0.99	0:1.00	1:0.79	0:0.99	0:0.99	0:0.99
63	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
98	1:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.97
112	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
126	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:0.99
231	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.98
272	0:1.00	0:0.99	1:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
273	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
353	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99
372	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.94	0:0.99	0:0.99
378	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98
425	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99
426	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99
492	1:1.00	0:0.97	1:0.98	1:0.98	1:1.00	1:0.99	1:0.98	1:0.98
544	1:0.99	0:0.98	1:0.98	1:0.99	1:0.99	1:0.98	1:0.99	1:0.98
620	1:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.97
629	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.98
660	1:0.98	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.97
680	0:0.99	0:0.99	0:1.00	1:0.80	0:1.00	0:1.00	0:0.99	0:0.99
692	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
694	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98
698	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00
699	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98
711	1:0.96	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
777	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.98
780	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.87	0:0.96
781	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.85	0:0.97
786	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99
788	0:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	1:0.99	0:0.98
789	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
793	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:1.00
797	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99
798	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99
804	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99
807	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
808	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	0:1.00
810	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00
814	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00
821	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.90	0:1.00
822	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.96	0:1.00
823	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.95	0:1.00
832	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00
838	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.94	0:1.00
839	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.89	0:0.99
840	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
841	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99
845	1:0.98	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:1.00	0:0.96
852	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99
858	0:1.00	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	1:0.93	0:0.98
861	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98	0:0.98
873	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99
879	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.97
884	0:1.00	0:1.00	1:0.97	1:0.95	1:0.60	0:0.99	1:0.99	0:0.99
886	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
887	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.91	0:0.99
889	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99
891	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	1:0.99	0:0.97
893	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00
897	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	1:0.97
