Contig:MEG_7909xxDrugsxxbetalactamsxxClass_C_betalactamasesxxADC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
678	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00
713	0:1.00	0:0.98	0:0.99	1:0.95	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99
723	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.97	0:0.97	0:0.98	0:0.97	0:1.00	0:0.96	0:1.00
727	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99
731	0:0.99	0:1.00	0:1.00	0:0.96	0:0.99	0:1.00	0:1.00	0:0.99	1:0.89	0:0.99	0:1.00	0:1.00	0:0.99
732	0:1.00	0:1.00	0:0.99	0:0.90	1:0.96	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
781	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.80	1:0.98
804	1:0.93	1:0.93	0:0.98	1:0.94	0:0.99	0:0.98	1:0.94	0:0.98	1:0.94	0:0.99	1:0.94	0:0.47	2:0.95
807	1:0.98	1:0.97	0:1.00	1:0.97	0:0.99	0:1.00	1:0.98	0:1.00	1:0.99	0:1.00	1:0.98	0:0.99	0:1.00
813	1:0.98	1:0.99	0:0.99	1:0.99	0:0.99	0:0.99	1:1.00	0:0.99	1:0.98	0:0.98	1:0.98	0:1.00	0:0.99
822	1:1.00	1:0.97	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	0:0.97	1:0.99	0:0.98	1:0.99	0:0.97	0:1.00
823	0:0.98	0:0.97	0:0.99	0:0.96	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.99	0:0.99
825	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
860	0:0.98	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.98	0:1.00
862	1:0.79	1:0.81	0:0.99	1:0.82	0:1.00	0:1.00	1:0.81	0:0.99	1:0.79	0:0.99	1:0.80	1:0.93	0:1.00
863	1:0.98	1:0.98	0:1.00	1:0.97	0:1.00	0:1.00	1:0.98	0:1.00	1:0.98	0:1.00	1:0.99	1:0.99	0:0.99
871	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	1:0.98
874	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.94
875	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	1:0.93	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98
876	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99
942	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99
944	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
961	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99
975	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
996	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:0.98	0:0.98	0:0.98	1:0.97	0:0.99
1030	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99
1035	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:1.00	1:0.97
1037	1:0.98	1:0.97	1:0.94	1:0.97	1:0.98	1:0.96	1:0.99	1:1.00	1:0.99	0:1.00	0:1.00	0:1.00	1:0.98
1039	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
1056	1:0.99	0:0.99	0:0.99	1:0.99	0:0.99	1:0.98	1:0.99	0:0.99	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99
1065	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
1068	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
1083	0:0.99	1:0.98	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
1122	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00
1137	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.99
1143	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99
1146	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.99
1147	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99
1149	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:1.00	1:0.98	0:1.00
1162	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.91	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.91	0:1.00
