Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
1626	1:0.99	0:0.99	1:1.00	0:1.00	1:0.98	0:0.99	1:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
1629	1:0.97	0:0.99	1:0.95	0:0.98	1:0.98	0:1.00	1:0.96	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00
1644	1:0.98	0:0.99	1:0.98	0:0.99	1:0.98	0:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00
1653	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00
1659	1:0.99	0:0.99	1:0.98	0:1.00	1:0.99	0:0.99	1:0.98	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00
1686	0:1.00	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.97	0:1.00	0:1.00	0:1.00
1697	1:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1703	0:1.00	0:0.99	0:1.00	0:0.99	1:0.77	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
1960	0:1.00	1:0.93	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00
1968	0:1.00	0:1.00	0:0.99	0:0.97	0:0.99	0:0.98	0:1.00	1:0.99	0:1.00	0:0.99	0:0.95	0:0.99	0:0.99	0:1.00
2007	1:0.98	1:0.96	1:0.94	0:1.00	1:0.96	0:0.99	1:0.96	1:0.95	1:0.96	0:0.99	0:0.99	0:0.99	1:0.95	1:1.00
2034	1:0.99	0:0.94	1:1.00	0:1.00	1:0.98	0:0.97	1:0.99	1:0.98	1:0.99	1:0.99	0:1.00	0:0.99	1:0.99	0:1.00
2079	0:1.00	0:1.00	1:0.98	0:0.99	1:0.76	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
2083	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
2124	0:1.00	0:1.00	0:0.98	0:0.99	1:0.75	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
2139	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.98	0:1.00	0:1.00	0:0.53
2247	1:0.98	1:0.98	0:1.00	0:1.00	1:0.99	1:0.97	1:0.99	1:0.98	1:0.98	0:1.00	0:1.00	0:0.99	1:0.99	1:1.00
2250	1:0.99	1:0.99	0:1.00	0:0.99	1:0.99	1:0.99	1:0.98	1:0.99	1:0.98	0:1.00	0:1.00	0:1.00	1:0.99	1:1.00
2253	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00	0:0.97	0:0.99	1:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00
2256	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00
2337	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00
2340	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	1:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
2343	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.98	1:0.98	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
2348	0:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
2355	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00
2388	0:1.00	0:1.00	1:0.99	0:1.00	1:0.73	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	-
2409	1:0.97	1:0.98	1:0.98	0:0.99	1:0.99	1:1.00	1:0.98	1:0.99	1:0.98	1:0.99	0:0.98	0:0.99	0:1.00	1:1.00
2514	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	1:0.96	0:1.00	0:1.00	0:1.00	0:1.00	-
2516	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	-
2529	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	1:0.99	0:1.00	0:0.96	0:1.00	1:0.98	-
2550	1:0.86	1:0.95	1:0.95	0:0.99	1:0.95	1:0.95	1:0.96	1:0.95	1:0.97	1:0.96	0:1.00	0:0.99	1:0.95	-
2670	1:1.00	1:0.98	1:0.97	0:0.99	1:0.98	1:0.98	1:0.98	1:0.99	1:0.99	1:0.99	0:1.00	0:0.99	1:0.99	-
2679	1:1.00	1:0.98	1:0.97	0:1.00	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.99	0:1.00	0:1.00	1:0.99	-
2706	1:1.00	1:0.97	0:1.00	0:1.00	1:0.97	1:0.97	1:0.97	1:0.97	1:0.96	1:0.96	0:1.00	0:0.98	0:1.00	-
2778	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:1.00	0:1.00	1:0.96	-
2871	-	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	-	0:0.99	1:0.98	-
2904	-	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	-	0:0.99	1:0.98	-
2907	-	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	-	0:0.99	1:0.97	-
2916	-	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	1:0.99	0:0.98	0:0.99	-	0:1.00	1:0.98	-
2966	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	-	1:1.00	0:1.00	-
3102	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	1:0.99	-	0:0.99	1:0.99	-
3132	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	1:0.97	-	0:1.00	0:0.99	-
