Contig:NC_001802.1,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
2807	0:0.98	0:0.97	0:0.97	0:0.99	0:1.00	0:0.96	0:0.97	0:0.97
2863	1:0.98	1:0.97	1:0.97	1:0.95	1:0.97	1:0.98	1:0.98	1:1.00
2920	1:0.88	0:0.98	1:0.86	0:0.97	1:0.80	1:0.83	1:0.79	0:0.92
2956	0:0.96	1:0.91	0:0.98	1:0.93	0:0.97	0:0.97	0:0.96	1:0.95
3023	1:0.96	0:0.96	1:0.96	0:0.91	1:0.95	1:0.97	1:0.96	0:0.84
3070	0:0.94	1:0.96	0:0.97	1:0.93	0:0.95	0:0.96	0:0.96	1:0.96
3136	0:0.95	1:0.94	0:0.99	1:0.95	0:0.92	0:0.96	0:0.94	1:1.00
3195	0:0.98	1:0.93	0:0.98	1:0.94	0:0.96	0:0.97	0:0.97	1:0.96
3256	1:0.87	0:0.97	1:0.82	0:0.94	1:0.76	1:0.90	1:0.89	0:1.00
3304	1:0.95	0:0.98	1:0.98	0:0.95	1:0.91	1:0.94	1:0.96	0:1.00
3385	1:0.95	1:0.88	1:0.85	1:0.90	1:0.85	1:0.95	1:0.93	1:0.80
3448	1:0.96	0:0.99	1:0.97	0:0.96	1:0.90	1:0.93	1:0.91	0:0.90
3500	1:0.93	0:0.99	1:0.96	0:0.95	1:0.97	1:0.95	1:0.93	0:0.86
3541	1:0.94	0:0.99	1:0.98	0:0.97	1:1.00	1:0.97	1:0.97	0:0.81
3664	0:0.94	1:0.98	0:0.92	1:0.96	0:0.96	0:0.91	0:0.89	1:0.85
3755	1:0.98	1:0.96	1:0.99	1:0.93	1:1.00	1:0.99	1:0.97	1:0.87
3811	1:0.92	0:1.00	1:0.92	0:0.97	1:0.90	1:0.92	1:0.91	0:0.75
3899	0:0.97	1:0.99	0:1.00	1:0.95	0:1.00	0:0.97	0:0.98	1:0.65
4039	0:0.96	1:0.96	0:0.99	1:0.96	0:1.00	0:0.97	0:0.99	1:0.58
4109	1:0.92	1:0.97	1:0.91	1:0.95	1:0.96	1:0.91	1:0.83	1:0.85
4148	1:0.90	1:0.95	1:0.88	1:0.94	1:0.97	1:0.95	1:0.97	1:1.00
4198	1:0.80	0:0.99	1:0.69	0:0.99	1:0.71	1:0.76	1:0.78	0:0.80
4321	1:0.93	1:0.97	1:0.96	1:0.97	1:0.97	1:0.95	1:0.96	1:1.00
4474	0:0.96	1:0.88	0:0.98	1:0.83	0:0.96	0:0.98	0:0.97	0:0.81
4573	0:0.98	1:0.99	0:1.00	1:0.96	0:0.96	0:0.97	0:0.96	0:0.84
4683	1:1.00	1:0.97	1:1.00	1:0.99	1:0.96	1:1.00	1:1.00	1:1.00
4724	1:0.96	0:0.98	1:0.98	0:0.97	1:0.95	1:0.95	1:0.98	1:0.95
4778	1:0.98	1:0.97	1:0.96	1:0.96	1:1.00	1:0.98	1:0.98	1:1.00
4857	1:0.94	2:0.86	1:0.92	2:0.83	1:0.83	1:0.87	1:0.90	1:0.91
4925	0:0.96	1:0.98	0:0.93	1:0.98	0:0.96	0:0.97	0:0.98	0:1.00
4977	1:0.96	0:0.98	1:0.96	0:0.97	1:0.96	1:0.98	1:0.98	1:1.00
5036	1:0.96	1:0.93	1:0.92	1:0.96	1:0.97	1:0.94	1:0.89	1:0.95
5087	1:0.94	0:0.97	1:0.94	0:0.97	1:0.92	1:0.97	1:0.97	1:1.00
5136	1:0.93	1:0.94	1:0.89	1:0.97	1:0.97	1:0.94	1:0.94	1:0.91
5205	0:0.90	0:0.91	0:0.88	0:0.89	0:0.82	0:0.89	0:0.87	0:0.91
5251	1:1.00	1:0.99	1:1.00	1:1.00	1:1.00	1:1.00	1:0.99	1:1.00
5437	1:0.96	0:0.99	1:0.97	0:0.93	1:0.63	1:0.99	1:0.97	1:1.00
5484	1:0.95	0:0.99	1:0.92	0:0.94	1:0.60	1:0.97	1:0.94	1:0.91
5581	1:0.92	1:0.95	1:0.92	1:0.98	1:0.94	1:0.95	1:0.95	1:0.95
5622	0:0.99	1:0.93	0:0.97	1:0.84	0:0.58	0:1.00	0:0.98	0:1.00
5652	1:0.93	0:0.98	1:0.83	0:0.94	0:0.55	1:0.95	1:0.91	1:1.00
5688	1:0.96	0:0.96	1:0.92	0:0.92	1:0.58	1:0.98	1:0.95	1:1.00
5802	1:0.70	0:0.99	1:0.69	0:0.91	0:0.78	1:0.73	1:0.68	0:0.50
5831	1:0.97	0:0.99	1:0.95	0:0.89	1:0.52	1:0.99	1:0.97	1:0.97
5867	0:0.97	1:0.89	0:0.92	1:0.84	0:0.64	0:0.97	0:0.97	0:0.95
5917	1:0.96	0:0.93	1:0.93	0:0.90	1:0.55	1:0.95	1:0.96	1:1.00
5968	1:0.97	0:0.98	1:0.95	0:0.89	0:0.54	1:0.98	1:0.94	1:0.96
6037	1:0.98	1:0.98	1:0.96	1:0.98	1:1.00	1:0.98	1:0.99	1:1.00
6167	1:0.63	0:0.98	1:0.62	0:0.90	0:0.71	1:0.71	1:0.65	1:0.79
6189	1:0.76	1:0.97	1:0.68	1:0.93	1:0.74	1:0.76	1:0.75	1:0.78
6253	1:0.98	1:0.91	1:0.97	1:0.90	1:1.00	1:0.97	1:0.97	1:1.00
6285	1:0.94	1:0.96	1:0.92	1:0.97	1:0.92	1:0.96	1:0.94	1:1.00
6322	1:0.97	0:0.99	1:0.93	0:0.85	0:0.58	1:0.95	1:0.93	1:1.00
6418	0:0.98	1:0.97	0:0.98	1:0.86	1:0.62	0:0.98	0:0.97	0:1.00
6500	1:1.00	1:0.99	1:0.97	1:1.00	1:1.00	1:0.99	1:0.98	1:1.00
6581	1:0.99	1:0.98	1:0.98	1:0.99	1:1.00	1:0.99	1:0.98	1:0.97
6631	0:0.97	1:0.99	0:1.00	1:0.81	1:0.73	0:0.99	0:0.98	0:1.00
6670	0:0.92	0:0.88	0:0.86	0:0.91	0:0.89	0:0.91	0:0.92	0:1.00
6776	1:0.92	1:0.94	1:0.89	1:0.95	1:1.00	1:0.95	1:0.96	1:1.00
6800	1:0.76	1:0.81	1:0.71	1:0.77	1:0.76	1:0.74	1:0.76	1:0.75
6826	1:0.97	1:0.97	1:0.96	1:0.98	1:0.96	1:0.97	1:0.98	1:0.97
6876	1:0.94	1:0.90	1:0.86	1:0.88	1:0.79	1:0.91	1:0.91	1:0.95
6961	0:0.94	1:0.73	0:0.96	1:0.53	1:0.63	0:0.98	0:0.97	0:0.95
6985	0:0.92	1:0.79	0:0.89	0:0.65	1:0.83	0:0.89	0:0.88	0:0.80
7016	1:0.97	1:0.99	1:0.96	1:1.00	1:1.00	1:0.99	1:0.97	1:1.00
7158	1:0.91	0:0.87	1:0.92	0:0.61	0:0.84	1:0.93	1:0.95	1:1.00
7238	1:0.89	2:0.95	1:0.92	2:0.60	2:0.94	1:0.95	1:0.93	1:0.91
7275	0:0.94	1:0.82	0:1.00	0:0.52	1:0.95	0:0.95	0:0.91	0:0.95
7366	0:0.96	1:0.91	0:1.00	1:0.55	1:0.82	0:0.98	0:0.97	0:0.94
7441	1:0.94	0:0.95	1:0.93	0:0.55	0:0.96	1:0.95	1:0.95	1:0.96
7541	1:0.95	0:0.99	1:1.00	0:0.52	0:1.00	1:0.97	1:0.98	1:1.00
7575	1:0.86	0:0.96	1:0.90	0:0.64	0:0.92	1:0.90	1:0.93	1:0.81
7608	1:0.93	0:0.99	1:1.00	0:0.56	0:1.00	1:0.96	1:0.98	1:1.00
7689	0:0.85	1:0.97	0:0.94	1:0.54	1:1.00	0:0.89	0:0.90	0:0.85
7706	1:0.95	1:0.95	1:0.92	1:0.97	1:1.00	1:0.96	1:0.97	1:1.00
7741	0:0.94	1:0.93	0:1.00	0:0.51	1:0.91	0:0.97	0:0.98	0:1.00
7764	0:0.93	1:0.97	0:1.00	0:0.52	1:0.94	0:0.97	0:0.98	0:1.00
7828	0:0.95	1:0.99	0:0.99	0:0.52	1:1.00	0:0.96	0:0.98	0:1.00
7937	1:0.95	0:0.99	1:0.99	1:0.54	0:1.00	1:0.96	1:0.98	1:1.00
7988	1:0.93	1:0.89	1:0.96	1:0.95	1:0.85	1:0.93	1:0.92	1:0.86
8035	0:0.85	1:0.97	0:0.89	0:0.57	1:1.00	0:0.91	0:0.94	0:0.85
8096	0:0.98	0:0.79	0:1.00	0:0.95	0:0.68	0:0.99	0:0.99	0:1.00
8122	1:0.70	0:0.98	1:0.86	0:0.85	0:1.00	1:0.80	1:0.90	1:0.83
8168	0:0.95	1:0.98	0:0.99	0:0.68	1:0.95	0:0.97	0:0.98	0:1.00
8197	0:0.94	1:0.99	0:1.00	0:0.59	1:0.95	0:0.96	0:0.99	0:1.00
8216	1:0.93	0:0.99	1:1.00	1:0.58	0:1.00	1:0.97	1:0.99	1:1.00
8291	1:0.92	2:0.90	1:0.98	1:0.53	2:0.95	1:0.94	1:0.94	1:1.00
8334	1:0.80	0:0.99	1:0.86	1:0.51	0:1.00	1:0.85	1:0.88	1:0.92
8371	1:0.93	0:0.96	1:0.98	1:0.54	0:1.00	1:0.95	1:0.96	1:1.00
8404	1:0.71	0:0.99	1:0.74	0:0.52	0:1.00	1:0.77	1:0.84	1:0.65
8491	1:0.93	0:0.99	1:0.93	1:0.58	0:1.00	1:0.95	1:0.98	1:0.96
8531	1:0.82	0:0.97	1:0.83	0:0.52	0:1.00	1:0.81	1:0.83	1:0.95
8595	1:0.98	1:0.99	1:0.95	1:1.00	1:1.00	1:0.99	1:1.00	1:1.00
8666	1:0.99	1:0.99	1:1.00	1:0.99	1:1.00	1:0.99	1:0.99	1:1.00
8732	0:0.91	1:0.98	0:0.95	0:0.76	1:0.98	0:0.94	0:0.97	0:1.00
8797	1:0.87	0:1.00	1:0.89	1:0.69	0:1.00	1:0.90	1:0.90	1:0.95
8832	1:0.81	0:0.99	1:0.87	1:0.74	0:0.95	1:0.92	1:0.96	1:0.96
8916	1:0.95	1:0.84	1:0.91	1:0.95	1:0.76	1:0.94	1:0.96	1:1.00
8950	1:0.91	1:0.92	1:0.89	1:0.88	1:0.87	1:0.90	1:0.90	1:0.79
8978	1:0.90	0:1.00	1:0.90	1:1.00	0:0.87	1:0.90	1:0.92	1:0.97
9026	1:1.00	1:0.96	0:1.00	1:0.65	1:0.88	1:1.00	0:1.00	1:0.65
9106	-	0:0.59	-	1:1.00	-	0:0.62	1:0.67	-
