Contig:MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14
	599	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99
	618	0:1.00	0:0.89	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.97	0:1.00	0:0.91	0:0.99	0:0.97	0:0.99
	623	0:0.99	0:0.99	0:0.87	0:0.98	0:0.99	0:0.99	0:0.99	0:0.95	0:0.97	0:0.90	0:1.00	0:0.99	0:0.97	0:0.98	0:0.98
	630	0:0.99	0:0.98	0:1.00	0:0.99	0:0.98	1:0.96	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	0:0.97	0:0.99	0:0.99
	652	0:0.99	0:0.98	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:0.96	0:0.99	0:0.90	0:1.00	0:0.98	0:0.94	0:0.99	0:1.00
	654	0:1.00	0:0.99	1:0.74	0:0.87	0:1.00	0:1.00	0:1.00	0:0.96	0:0.97	0:0.89	0:1.00	0:1.00	0:0.97	1:0.55	0:0.98
	663	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	1:0.91	0:1.00	0:1.00	0:1.00	0:0.99
	684	0:0.97	1:0.95	1:0.88	1:0.98	1:0.87	1:0.97	1:0.99	1:0.99	1:0.99	1:0.94	1:0.96	1:0.98	1:0.97	1:0.97	1:0.97
	697	0:0.98	1:0.96	1:0.87	1:0.98	1:0.86	1:0.98	1:0.99	1:0.99	1:0.98	1:0.95	1:0.97	1:0.98	1:0.98	1:0.98	1:0.97
	699	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.90	0:1.00	0:1.00	0:1.00	0:1.00
	708	0:0.99	1:0.93	0:0.99	1:0.83	1:0.74	0:1.00	1:0.98	1:0.93	1:0.93	1:0.73	0:0.94	1:0.97	1:0.94	0:0.58	1:0.67
	709	0:0.99	1:0.94	1:0.74	1:0.97	0:0.98	0:0.99	1:0.98	1:0.97	1:0.98	1:0.90	1:0.98	1:0.97	1:0.98	1:0.95	1:0.93
	710	0:1.00	0:0.94	0:0.99	0:0.96	0:0.98	0:0.99	0:0.95	0:0.95	0:0.96	0:0.97	0:0.98	0:0.96	0:0.96	0:0.96	0:0.97
	723	0:0.99	0:0.99	0:0.91	0:1.00	0:0.93	1:0.89	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.95
	731	0:0.99	0:0.98	0:0.89	0:0.99	0:0.99	0:0.99	0:0.99	0:0.95	0:0.99	0:0.90	0:0.99	0:0.99	0:0.97	0:0.97	0:0.99
	742	0:0.97	1:0.96	1:0.87	1:0.98	1:0.87	1:0.98	1:0.99	1:1.00	1:0.98	1:0.98	1:0.97	1:0.98	1:0.99	1:0.96	1:0.97
	746	0:1.00	0:0.98	0:0.89	0:1.00	0:0.94	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.98	0:1.00	0:0.99	0:0.95
	783	0:0.98	0:0.97	0:0.99	0:0.97	0:0.98	0:0.99	0:0.93	0:0.99	0:0.96	0:0.98	0:0.99	0:0.98	0:0.99	0:0.82	0:0.99
	786	0:0.99	0:0.91	0:0.87	0:0.95	0:0.91	1:0.92	0:0.95	0:0.97	0:0.94	0:0.95	0:0.99	0:0.95	0:0.96	0:0.97	0:0.92
	789	0:0.97	1:0.90	0:0.99	1:0.83	1:0.75	0:0.98	1:0.98	1:0.93	1:0.94	1:0.82	0:0.93	1:0.97	1:0.95	0:0.59	1:0.63
	807	0:1.00	0:0.90	0:0.88	0:0.95	0:0.78	1:0.95	0:0.96	0:0.87	0:0.96	0:0.64	1:0.93	0:0.93	0:0.84	0:0.99	0:0.85
	808	0:1.00	0:0.87	0:1.00	0:0.94	0:0.92	0:0.99	0:0.92	0:0.91	0:0.93	0:0.95	0:0.99	0:0.93	0:0.93	0:0.97	0:0.98
	825	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	828	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.90	0:1.00	0:1.00	0:1.00	0:0.99
	830	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.96	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	835	1:0.75	1:0.97	1:0.89	1:0.99	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.97
	841	0:1.00	0:0.99	1:0.65	0:0.88	0:1.00	0:1.00	0:1.00	0:0.96	0:0.96	0:0.90	0:1.00	0:1.00	0:0.97	0:0.50	0:1.00
	855	1:0.64	0:0.99	0:0.85	0:0.99	1:0.85	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
	869	1:0.70	1:0.96	1:0.87	1:0.98	1:0.98	1:0.98	1:0.99	1:1.00	1:0.98	1:0.97	0:0.94	1:0.99	1:0.98	1:0.98	1:0.97
	888	1:0.83	1:0.96	1:0.98	1:0.98	1:0.92	0:0.99	1:0.99	1:0.99	1:0.98	1:0.85	0:0.92	1:0.99	1:0.98	1:0.99	1:0.69
	891	0:0.82	1:0.90	1:0.84	1:0.94	0:1.00	0:0.99	1:0.96	1:0.93	1:0.96	1:0.82	0:0.92	1:0.95	1:0.93	1:0.94	1:0.61
	893	0:0.99	0:0.97	0:0.99	0:0.98	0:0.97	0:0.99	0:0.99	0:0.97	0:0.97	0:0.98	0:1.00	0:0.98	0:0.98	0:0.97	0:0.97
	908	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.90	0:1.00	0:1.00	0:0.98	0:1.00
	931	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.87	0:1.00	0:1.00	0:1.00	0:1.00
	933	0:0.99	0:0.98	0:0.82	0:0.99	0:1.00	0:0.99	0:0.99	0:0.94	0:0.99	0:0.89	0:1.00	0:0.99	0:0.96	0:0.98	0:1.00
	939	0:1.00	0:0.97	0:0.98	0:0.99	0:0.94	0:1.00	0:1.00	0:1.00	0:1.00	0:0.97	0:1.00	0:0.98	0:0.99	0:1.00	0:0.76
	945	0:1.00	0:0.97	0:0.98	0:0.99	0:0.95	1:0.98	0:1.00	0:1.00	0:1.00	0:0.97	0:0.99	0:0.98	0:0.99	0:1.00	0:0.77
	957	1:0.72	1:0.94	1:0.81	1:0.97	1:0.89	0:0.99	1:0.98	1:0.98	1:0.97	1:0.82	1:0.96	1:0.98	1:0.97	1:0.97	1:0.72
	963	0:0.95	1:0.92	1:0.73	1:0.97	1:0.85	0:1.00	1:0.98	1:0.92	1:0.98	1:0.66	0:0.93	1:0.97	1:0.92	1:0.95	1:0.67
	964	0:0.99	0:0.96	0:0.98	0:0.97	0:0.96	0:1.00	0:0.97	0:0.97	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.97	0:0.98
	972	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:1.00	0:0.99	0:0.98	0:0.90	1:0.87	0:0.99	0:0.99	0:1.00	0:0.98
	975	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.90	1:0.90	0:1.00	0:0.99	0:1.00	0:0.99
	993	1:0.66	0:0.99	0:0.96	0:1.00	0:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.95
	994	0:1.00	0:0.99	0:0.91	0:0.99	0:1.00	0:1.00	0:0.99	0:0.94	0:0.96	0:0.89	0:0.99	0:1.00	0:0.95	0:1.00	0:0.99
	997	1:0.75	1:0.96	1:0.82	1:0.98	1:0.91	0:0.98	1:0.99	1:0.99	1:0.99	1:0.84	0:0.92	1:0.99	1:0.97	1:0.98	1:0.70
	999	1:0.73	1:0.98	1:0.86	1:0.98	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:0.97	1:0.96	1:0.99	1:0.99	1:0.99	1:0.97
	1000	0:0.97	0:0.92	0:0.97	0:0.96	0:0.95	0:0.98	0:0.96	0:0.95	0:0.96	0:0.97	0:0.97	0:0.96	0:0.96	0:0.93	0:0.96
	1017	0:1.00	0:0.97	0:0.82	0:0.97	0:0.99	0:1.00	0:1.00	0:0.94	0:0.96	0:0.86	0:0.99	0:0.99	0:0.95	0:0.99	0:0.78
	1031	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	1050	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.92	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	1056	1:0.67	0:0.98	0:0.84	0:0.98	0:0.97	1:0.97	0:0.99	0:1.00	0:0.99	0:0.95	0:0.96	0:0.99	0:0.98	0:0.99	0:0.73
	1059	0:0.97	0:0.98	0:0.97	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:0.87	1:0.91	0:0.99	0:0.98	0:1.00	0:0.79
	1060	0:0.95	1:0.94	1:0.63	1:0.96	1:0.89	0:1.00	1:0.99	1:0.90	1:0.99	1:0.60	0:0.94	1:0.98	1:0.91	1:0.97	1:0.59
	1062	0:0.99	1:0.62	0:0.96	0:0.71	0:0.80	0:1.00	1:0.73	0:0.71	1:0.82	0:0.93	0:0.99	1:0.78	0:0.75	1:0.71	0:0.91
	1063	0:1.00	0:0.94	0:0.98	0:0.97	0:0.97	0:1.00	0:0.96	0:0.96	0:0.95	0:0.98	0:0.99	0:0.97	0:0.98	0:0.94	0:0.97
	1064	0:0.99	0:0.97	0:0.95	0:0.98	0:0.95	0:0.99	0:0.99	0:0.94	0:0.99	0:0.80	0:0.98	0:0.99	0:0.95	0:0.98	0:0.99
	1077	1:0.74	1:0.93	1:0.85	1:0.97	1:0.97	1:0.97	1:0.97	1:0.96	1:0.98	1:0.97	1:0.97	1:0.97	1:0.96	1:0.96	1:0.92
	1083	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.85	0:0.99	0:0.99	0:1.00	0:1.00
	1086	1:0.72	1:0.94	1:0.85	1:0.97	1:0.97	1:0.98	1:0.98	1:0.97	1:0.98	1:0.95	1:0.94	1:0.98	1:0.98	1:0.96	1:0.93
	1152	1:0.79	1:0.96	1:0.95	1:0.98	1:0.99	0:0.99	1:1.00	1:1.00	1:0.99	1:0.95	1:0.96	1:0.99	1:0.99	1:0.99	1:0.73
	1171	0:1.00	0:0.98	0:0.97	0:0.98	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.88	0:0.99	0:0.99	0:0.98	0:1.00	0:0.80
	1182	1:0.65	0:0.99	0:0.96	0:0.99	0:0.96	0:1.00	0:0.99	0:0.99	0:1.00	0:0.89	0:0.99	0:1.00	0:0.99	0:1.00	0:0.93
	1185	0:0.98	0:0.95	0:0.96	0:0.96	0:0.98	0:0.99	0:0.98	1:0.98	0:0.99	0:0.65	0:0.92	0:0.97	1:0.92	0:0.99	0:1.00
	1190	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.84	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:1.00
	1212	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
	1218	0:1.00	0:0.99	0:0.97	0:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.80
	1221	0:0.81	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.89	1:0.93	0:1.00	0:0.98	0:0.99	0:0.96
	1230	0:0.80	0:0.98	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.84	0:0.93	0:1.00	0:1.00	0:0.99	0:0.91
	1260	0:0.99	0:0.98	0:1.00	0:0.99	0:0.96	0:1.00	0:0.99	0:0.99	0:0.99	0:0.90	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
	1276	1:0.88	0:0.91	0:0.81	0:0.97	0:0.95	1:0.99	0:0.99	1:0.98	0:1.00	1:0.96	1:0.96	0:0.95	1:0.96	0:0.99	0:0.54
	1311	1:0.88	0:0.92	0:0.93	0:1.00	0:0.95	1:0.97	0:1.00	1:0.98	0:0.99	1:0.96	1:0.92	0:0.95	1:0.97	0:0.99	1:0.79
	1326	1:0.85	0:0.98	0:0.87	0:0.97	0:0.95	0:1.00	0:0.99	0:0.99	0:1.00	0:0.87	0:0.96	0:0.99	0:0.99	0:1.00	0:0.83
	1342	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	1:0.87	0:1.00	0:0.97	0:1.00	0:0.99
	1347	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:0.93	0:0.97	0:0.98	1:0.88	0:1.00	1:0.69	0:1.00	0:0.95
	1359	1:0.75	0:0.93	0:0.92	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	1:0.86	1:0.83	0:0.98	0:0.95	1:0.95	0:1.00	1:0.94
	1368	0:0.97	0:0.98	0:0.98	0:0.99	0:0.99	1:0.97	0:1.00	0:0.95	0:0.95	0:0.96	0:0.94	0:0.99	0:0.94	0:1.00	0:0.94
	1369	1:0.76	0:0.90	0:0.80	0:0.97	0:0.95	1:1.00	0:0.99	1:0.96	1:0.86	1:0.91	1:0.93	0:0.94	1:0.95	0:0.98	1:0.93
	1380	0:0.80	0:0.99	0:0.87	0:0.97	0:0.99	1:0.96	0:0.99	0:1.00	0:0.99	0:0.97	1:0.87	0:1.00	0:0.96	0:1.00	0:0.87
	1384	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.94	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
	1428	0:0.97	0:0.97	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.97	1:0.82	0:1.00	0:0.99	0:0.99	0:0.99
	1443	1:0.78	1:0.96	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.99	1:0.98	1:0.98	1:0.97	1:0.90
	1444	0:0.91	0:0.81	0:0.88	0:0.90	0:0.90	0:0.91	0:0.89	0:0.89	0:0.89	0:0.89	0:0.88	0:0.89	0:0.89	0:0.92	0:0.87
	1446	1:0.80	1:0.98	1:0.98	1:0.98	1:0.99	1:1.00	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:0.98	1:0.95
	1464	0:0.99	0:0.77	0:0.71	1:0.60	1:0.92	0:1.00	1:0.92	1:0.62	1:0.86	1:0.93	1:0.75	0:0.76	0:0.50	0:0.86	0:0.89
	1465	0:0.97	0:0.92	0:0.96	0:0.96	0:0.96	0:0.99	0:0.96	0:0.95	0:0.96	0:0.97	0:0.98	0:0.96	0:0.96	0:0.96	0:0.96
	1467	0:0.88	1:0.68	0:0.94	0:0.94	1:0.92	1:0.99	1:0.88	1:0.57	1:0.97	1:0.96	0:0.95	1:0.74	0:0.83	1:0.75	0:0.85
	1476	0:0.98	0:0.98	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:0.96	0:1.00	0:1.00	0:0.99	0:1.00
	1485	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:0.98	0:0.97	0:0.95	0:1.00	0:1.00	0:0.99	0:0.99
	1488	1:0.57	0:0.95	0:0.98	0:0.77	0:0.89	0:1.00	0:0.91	1:0.98	1:0.90	1:0.95	0:0.97	0:0.96	1:0.88	0:0.95	1:0.90
	1500	1:0.80	1:0.99	1:0.99	1:1.00	1:1.00	1:1.00	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.98	1:0.96
	1506	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:0.99	0:0.88	0:0.95	0:1.00	0:1.00	0:0.98	0:0.99
	1518	1:0.80	1:0.96	1:0.98	1:0.99	1:0.98	1:0.97	1:0.98	1:0.98	1:0.99	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.94
	1536	0:0.98	0:0.97	0:0.99	0:0.92	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.98	1:0.95	0:1.00	0:0.96	0:0.99	0:1.00
	1554	1:0.79	1:0.96	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.97	1:0.98	1:0.98	1:0.98	1:0.98	1:0.97	1:0.97	1:0.94
	1566	0:0.98	0:0.97	0:0.99	0:0.92	0:0.99	0:0.97	0:0.99	0:1.00	0:0.98	0:0.98	1:0.93	0:1.00	0:0.96	0:0.99	0:0.98
	1581	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.93	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
	1584	1:0.69	0:0.97	0:0.90	1:0.62	0:0.94	0:1.00	0:0.89	1:0.96	1:0.94	1:0.88	0:0.99	0:0.98	1:0.81	1:0.71	1:0.84
	1623	0:0.76	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.99	1:0.97	1:0.98	1:0.99	1:0.99	1:0.99	1:0.98	1:0.98	1:0.87
	1625	0:0.83	1:0.97	1:0.97	0:0.79	1:0.99	1:0.97	1:0.94	0:0.99	0:0.96	0:0.95	1:0.99	1:0.99	0:0.81	0:0.95	0:0.92
	1626	0:0.97	0:0.87	0:0.92	0:0.97	0:0.93	0:0.93	0:0.93	0:0.99	0:1.00	0:0.99	0:0.93	0:0.94	0:0.98	0:0.98	0:1.00
	1638	0:0.99	0:0.98	0:1.00	0:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.82	0:1.00	0:0.97	0:1.00	0:1.00
	1645	0:0.90	1:0.90	0:0.95	0:0.90	0:0.94	0:0.99	0:0.89	0:0.88	0:0.88	0:0.88	0:0.99	0:0.96	0:0.87	0:0.88	0:0.88
	1647	1:0.76	0:0.97	1:0.84	1:0.83	1:0.94	0:0.99	1:0.98	1:0.97	1:0.96	1:0.93	0:0.98	1:0.98	1:0.86	1:0.96	1:0.92
	1648	0:0.82	1:0.93	1:0.96	0:0.89	1:0.93	0:0.98	0:0.99	0:0.87	0:0.99	0:0.99	0:0.98	1:0.99	1:0.94	0:0.99	0:0.97
	1649	1:0.71	0:0.99	0:0.94	1:0.85	0:0.77	0:1.00	1:0.99	1:0.97	1:0.97	1:0.94	0:0.99	0:0.96	0:0.98	1:0.96	1:0.91
	1650	0:0.85	0:0.84	1:0.83	0:0.91	1:0.91	0:0.99	0:1.00	0:0.88	0:1.00	0:1.00	0:0.98	1:0.98	1:0.92	0:1.00	0:0.99
	1653	0:0.82	1:0.98	1:0.99	0:0.77	1:0.95	1:0.98	0:0.99	0:0.87	0:0.97	0:0.94	1:0.98	1:1.00	1:0.98	0:0.98	0:0.94
	1684	0:0.84	1:0.69	1:0.60	0:0.93	1:0.84	0:1.00	0:0.91	0:0.90	0:0.97	0:0.85	0:0.98	1:0.79	0:0.84	0:0.97	0:0.95
