Contig:GCF_900128535_000000000015,Range:25000-28000	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15	Haplotype:16
2191	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2198	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2201	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2202	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2217	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2219	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2226	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2227	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2228	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2235	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2236	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2237	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2238	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2252	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2257	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2260	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2263	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2268	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2272	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2276	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2279	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2281	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2285	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2287	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2302	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2319	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2325	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2330	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2331	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2334	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2335	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2337	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2340	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2345	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2349	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2352	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2353	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2355	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2360	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2366	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2367	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2372	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2373	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2380	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2386	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2391	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2393	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2399	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2403	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2412	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2423	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2428	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2429	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2430	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2431	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2439	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2469	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2472	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2478	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2501	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2517	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2523	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2526	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2532	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2584	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2610	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2880	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2967	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2970	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3041	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3111	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3868	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5289	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5361	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5535	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5750	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6039	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6042	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6111	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6366	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6372	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6572	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7297	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7886	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8852	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9555	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12755	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13646	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13668	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13848	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14088	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14397	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14417	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14450	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14563	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14573	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14850	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14893	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14920	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15442	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15475	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15526	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15568	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15664	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15703	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15709	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15881	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15915	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15919	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15922	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15929	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15952	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15975	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15980	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15984	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16028	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16096	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16114	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16120	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16123	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16135	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16176	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16177	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16178	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16181	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16183	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16190	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16192	0:0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16200	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16204	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16208	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16244	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16331	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16343	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16660	0:0.80	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17205	0:0.77	1:0.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17210	0:0.55	1:0.65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17244	1:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17370	1:0.75	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17388	1:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17416	1:1.00	1:0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17434	1:1.00	1:0.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17457	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17460	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17490	1:0.80	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17538	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17544	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17553	1:0.88	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17558	1:0.60	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17565	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17568	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17571	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17594	1:0.79	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17604	1:0.81	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17608	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17618	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17647	0:1.00	0:0.69	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17651	1:0.74	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17682	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17697	1:0.75	0:1.00	1:0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17714	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17736	1:0.71	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17744	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17779	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17781	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17787	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17789	1:1.00	0:0.74	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17790	1:1.00	0:0.67	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17793	1:1.00	0:1.00	0:0.65	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17799	1:1.00	0:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17811	1:0.83	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17817	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17819	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17823	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17829	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17838	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17848	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
17849	1:1.00	0:1.00	0:1.00	1:0.56	-	-	-	-	-	-	-	-	-	-	-	-	-
17922	0:1.00	0:1.00	1:0.66	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
18057	0:1.00	0:1.00	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-	-
18075	0:1.00	0:1.00	0:0.66	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-	-	-
18093	0:1.00	0:0.74	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-
18128	0:1.00	0:0.64	1:0.83	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-
18219	0:1.00	1:0.66	0:0.63	0:1.00	0:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-
18222	0:1.00	0:0.51	1:0.58	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-	-	-	-
18238	0:1.00	0:1.00	1:0.60	0:1.00	0:1.00	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-	-
18603	0:1.00	0:0.55	1:0.80	1:1.00	0:1.00	0:1.00	1:1.00	0:1.00	-	-	-	-	-	-	-	-	-
18663	0:0.68	0:0.83	0:0.58	0:1.00	0:1.00	1:1.00	-	0:1.00	1:1.00	1:1.00	-	-	-	-	-	-	-
18945	0:0.66	1:0.72	0:0.85	1:1.00	0:0.50	0:0.50	1:1.00	1:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-
19037	0:0.81	0:0.54	0:0.82	1:1.00	0:0.65	0:1.00	1:1.00	1:1.00	0:1.00	1:1.00	-	-	-	-	-	-	-
19335	0:1.00	0:0.84	0:0.63	1:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-	-
19536	0:1.00	0:0.70	1:0.87	0:1.00	0:0.78	1:1.00	1:1.00	1:1.00	0:1.00	0:1.00	-	-	-	-	-	-	-
19668	0:1.00	0:0.84	1:1.00	1:1.00	0:0.75	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-	-	-	-
19676	0:1.00	0:0.82	1:1.00	1:1.00	0:0.75	0:1.00	0:1.00	1:1.00	0:0.75	1:1.00	1:1.00	-	-	-	-	-	-
20878	0:1.00	0:0.91	1:0.76	1:1.00	0:0.88	1:0.69	0:0.73	0:0.67	0:1.00	0:0.76	1:1.00	0:1.00	0:1.00	-	-	-	-
21250	0:1.00	0:0.96	1:0.51	0:1.00	0:0.90	0:0.55	0:1.00	0:1.00	0:1.00	0:0.87	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-
21254	0:1.00	0:1.00	1:0.65	0:1.00	0:0.89	1:0.69	0:0.80	0:1.00	0:1.00	0:0.87	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-
21327	0:1.00	0:1.00	1:0.78	0:1.00	0:0.89	1:0.65	0:0.86	0:1.00	0:1.00	0:0.85	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-
21856	0:0.55	1:0.93	1:0.63	1:0.79	1:0.74	1:0.51	1:1.00	1:0.67	1:0.79	1:0.65	1:1.00	1:1.00	1:1.00	0:1.00	-	-	-
22242	0:0.82	0:1.00	0:0.91	0:1.00	0:0.82	0:0.87	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-
22482	0:0.92	0:0.89	0:1.00	0:1.00	1:0.73	1:0.86	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	-	-	-
22486	0:0.82	0:0.91	0:0.91	0:1.00	1:0.68	1:0.65	0:0.86	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	-	-	-
22502	0:0.91	0:0.91	0:1.00	0:1.00	1:0.76	1:0.71	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	-	-	-
