Contig:MEG_2605xxDrugsxxbetalactamsxxClass_C_betalactamasesxxDHA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
165	0:1.00	1:0.99	0:0.99	0:1.00	1:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
167	0:0.99	0:0.99	0:0.99	0:0.98	1:0.97	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
186	0:0.99	1:0.98	1:0.97	0:0.99	1:0.97	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97
199	0:0.99	1:0.98	1:0.98	0:1.00	1:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99
216	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
243	0:0.97	0:0.99	0:0.98	0:0.97	0:0.96	0:0.97	1:0.97	0:0.97	0:0.99	0:0.99	0:0.97	0:0.97
288	0:0.99	0:1.00	1:0.96	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96
307	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97
308	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.97	1:0.98	0:0.97	0:1.00	0:1.00	0:0.98	0:0.97
310	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98
318	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99
324	0:0.97	0:1.00	0:0.98	0:0.97	0:0.98	0:0.97	1:0.96	0:0.98	0:0.98	0:0.99	0:0.98	1:0.96
326	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97
333	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
372	0:0.99	1:0.99	1:0.98	0:0.98	0:0.99	0:0.98	0:0.97	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98
373	0:1.00	1:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.98	0:0.99	0:1.00	1:0.98
387	0:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:0.98	1:0.99	0:0.98	0:1.00	0:1.00	0:0.99	0:0.98
393	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97
397	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98
405	0:0.99	1:0.98	1:1.00	0:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00
416	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
420	0:0.99	0:1.00	1:0.97	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98
426	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
432	0:0.99	1:0.93	1:0.95	0:0.98	0:0.99	0:0.99	1:0.92	0:0.99	0:0.99	0:0.98	0:0.98	1:0.97
437	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
447	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
454	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99
456	1:0.97	0:0.99	0:0.99	0:0.99	1:0.96	0:0.98	1:0.95	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
477	0:0.97	0:0.99	1:0.96	0:0.98	0:0.97	0:0.96	0:0.97	0:0.98	0:0.99	0:1.00	0:0.97	0:0.97
480	0:0.99	1:0.97	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99
481	0:0.99	1:0.99	1:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:1.00	0:0.99	0:0.98
484	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
519	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99
546	0:1.00	1:0.97	1:0.98	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
552	0:0.97	1:0.99	0:0.98	0:0.97	0:0.98	0:0.96	1:0.97	0:0.97	0:0.99	0:1.00	0:0.98	0:0.98
582	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
585	0:0.99	1:0.98	0:0.99	0:0.98	0:0.98	0:0.98	1:0.97	0:0.97	0:0.99	0:1.00	0:0.99	0:0.99
606	0:0.99	1:0.95	0:0.99	0:0.98	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
627	0:0.99	1:0.98	0:0.98	0:0.98	0:0.99	0:0.99	1:0.98	0:0.98	0:1.00	0:1.00	0:0.98	0:0.98
636	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00
639	0:0.98	1:0.98	0:0.98	0:0.99	0:0.98	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99
651	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
657	0:0.98	1:0.99	0:0.98	0:0.98	0:0.98	0:0.97	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
663	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
678	0:1.00	1:0.96	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
684	0:0.99	1:0.97	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99
693	0:0.98	1:0.98	0:0.97	0:0.97	0:0.98	0:0.98	0:0.97	0:0.99	0:0.99	0:1.00	0:0.98	0:0.98
695	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	1:0.95	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99
696	0:0.98	0:1.00	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99
714	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00
734	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99
735	0:0.98	1:0.95	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
771	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99
784	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
819	0:0.99	0:1.00	0:0.99	0:0.99	1:0.93	1:0.95	0:0.99	1:0.92	1:0.97	1:0.97	0:1.00	0:0.99
822	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	1:0.98	0:0.99	1:0.98	1:0.98	1:0.99	0:0.99	0:0.99
831	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
845	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
855	0:1.00	1:0.98	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
873	0:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.95	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
915	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	1:0.98	0:0.98	0:0.99	1:0.98	1:0.99	0:0.98	0:0.98
934	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
945	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	1:0.98	1:0.96	1:0.98	0:1.00	0:0.99
1005	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.95	0:0.99	1:0.95	1:0.95	1:0.95	0:0.99	0:0.99
1014	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99
1032	0:0.97	0:0.99	0:0.98	0:0.98	0:0.98	1:0.99	0:0.98	0:0.98	1:0.98	1:0.97	0:0.98	0:0.97
1110	0:0.98	0:1.00	0:0.98	0:0.98	1:0.98	1:0.97	0:0.98	1:0.97	1:0.98	1:0.97	0:0.98	0:0.98
1131	0:0.97	0:1.00	0:0.98	0:0.98	0:0.98	0:0.96	1:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:0.97
